# Participant 7 (/Game/Spooky/Maps/UserStudy/LeapOnly)17 Apr 2018 4:04:40 pm
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 17.185747 true -6.725746 32.999977 76.941238 -6.725746 32.999977 76.941238 6.0 3.144458
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 21.121454 false -6.725746 32.999977 76.941238 -6.725761 26.999977 76.941238 6.0 2.92487
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 24.555662 false -6.725891 -15.000027 76.941231 -2.588875 -12.000038 80.41185 6.0 2.433475
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 26.700829 true 1.318413 26.999954 83.689651 1.318413 26.999954 83.689651 6.0 1.144871
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 29.356609 true 5.455326 -6.000061 87.160271 5.455326 -6.000061 87.160271 6.0 1.645531
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 31.478659 false 1.318367 8.999954 83.689651 5.455379 11.999939 87.160271 6.0 1.121023
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 33.812649 true -10.86274 35.999985 73.470627 -10.86274 35.999985 73.470627 6.0 1.333935
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 36.223286 true -6.725819 8.999981 76.941238 -6.725819 8.999981 76.941238 6.0 1.399849
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 38.712334 true -10.862835 5.999992 73.470619 -10.862835 5.999992 73.470619 6.0 1.489006
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 43.791492 false -14.999741 39.0 70.000008 -14.999763 33.0 70.000008 6.0 4.068947
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 46.513031 false 1.318291 -15.000051 83.689651 5.455311 -12.000061 87.160271 6.0 1.721359
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 49.225372 true 5.455475 41.999939 87.160271 5.455475 41.999939 87.160271 6.0 1.711395
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 51.658485 true -10.862984 -42.000011 73.470619 -10.862984 -42.000011 73.470619 6.0 1.423428
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 54.068718 true 1.318386 14.999947 83.689651 1.318386 14.999947 83.689651 6.0 1.40015
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 56.702621 true -10.862778 23.999985 73.470619 -10.862778 23.999985 73.470619 6.0 1.633846
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 58.736122 true 1.318291 -15.000051 83.689651 1.318291 -15.000051 83.689651 6.0 1.022522
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 60.924194 true 5.45536 5.999943 87.160271 5.45536 5.999943 87.160271 6.0 1.185577
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 63.214748 true -2.588985 -48.000038 80.41185 -2.588985 -48.000038 80.41185 6.0 1.289715
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 65.613968 true -10.862797 17.999992 73.470619 -10.862797 17.999992 73.470619 6.0 1.388977
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 70.804092 true -14.999763 33.0 70.000008 -14.999763 33.0 70.000008 6.0 4.189995
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 73.114922 true -6.725967 -39.000027 76.941231 -6.725967 -39.000027 76.941231 6.0 1.300423
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 75.669968 true -6.725857 -3.000023 76.941238 -6.725857 -3.000023 76.941238 6.0 1.544342
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 77.893471 true -6.725967 -39.000027 76.941231 -6.725967 -39.000027 76.941231 6.0 1.222992
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 80.081024 true -2.588913 -24.000038 80.41185 -2.588913 -24.000038 80.41185 6.0 1.18737
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 82.615959 false 1.318474 44.999939 83.689659 1.318459 38.999947 83.689659 6.0 1.534546
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 85.069931 true -2.58876 23.999954 80.41185 -2.58876 23.999954 80.41185 6.0 1.444252
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 87.704102 true -10.86274 35.999985 73.470627 -10.86274 35.999985 73.470627 6.0 1.623573
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 90.25956 true 5.45536 5.999943 87.160271 5.45536 5.999943 87.160271 6.0 1.544724
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 94.749229 true 1.318398 20.999954 83.689659 1.318398 20.999954 83.689659 6.0 3.48922
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 97.082375 true -2.588783 17.999969 80.41185 -2.588783 17.999969 80.41185 6.0 1.333084
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 99.550529 true -6.725708 44.999969 76.941238 -6.725708 44.999969 76.941238 6.0 1.467964
