# Participant 7 (/Game/Spooky/Maps/UserStudy/FusedTracking)17 Apr 2018 4:10:45 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 387.98468 true false 2 Blue 8.843903 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 392.962067 true false 3 Red 4.977386 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 407.584229 true false 2 Green 14.622162 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 414.173584 true false 2 Blue 6.589355 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 423.831299 false false 2 Red 9.657715 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 436.473999 true false 3 Blue 12.6427 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 447.519379 false false 2 Red 11.04538 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 456.320923 false true 2 Red 8.801544 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 462.474121 false false 3 Red 6.153198 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 469.163177 false true 2 Red 6.689056 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 469.163177 false true 3 Red 0.0 0 0
 # Participant 7 (/Game/Spooky/Maps/UserStudy/LeapOnly)17 Apr 2018 4:12:20 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 482.040619 false true 3 Green 7.830383 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 492.463531 true false 2 Red 10.422913 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 507.654114 true false 2 Red 15.190582 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 516.032593 false false 3 Blue 8.378479 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 523.520142 false true 2 Red 7.487549 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 534.354919 true false 2 Green 10.834778 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 545.887939 true false 3 Red 11.53302 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 552.587036 true false 3 Blue 6.699097 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 557.954163 false true 2 Blue 5.367126 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 564.222534 false true 2 Green 6.268372 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 564.222534 false true 2 Blue 0.0 0 0
 # Participant 7 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)17 Apr 2018 4:13:55 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 580.058105 false false 2 Blue 10.770813 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 619.874329 true false 3 Red 39.816223 1 13
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 629.487061 false true 2 Blue 9.612732 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 637.105652 true false 2 Red 7.618591 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 647.87207 false false 3 Green 10.766418 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 655.777405 true false 3 Red 7.905334 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 659.31073 false true 2 Red 3.533325 0 0
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 659.31073 false true 3 Red 0.0 0 0
