# Participant 7 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)17 Apr 2018 4:16:35 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 737.675232 false -185.825546 -75.077805 -7.807131 8.221375 1 104.983231 -213.101303 -26.133286
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 746.251648 false -190.852341 -21.385551 -7.807131 8.576416 1 4.22956 -73.119995 -33.688114
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 752.820496 false -166.792419 -78.916321 -7.807131 6.568848 1 267.85376 -476.159576 45.891281
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 773.073669 false -214.025696 -49.557171 -7.807131 20.253174 1 -39.635418 -19.973787 -153.092651
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 791.385803 false -151.640549 -95.709877 -7.807131 18.312134 1 161.21907 -284.153748 -66.932716
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 798.119568 false -241.739456 -3.632328 -7.807131 6.733765 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 816.575928 false -195.598663 -37.237961 -7.807131 18.45636 3 23.241472 -41.956699 18.211998
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 819.477722 false 99799.0 99999.0 99991.195313 2.901794 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 819.477722 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 7 (/Game/Spooky/Maps/UserStudy/FusedTracking)17 Apr 2018 4:18:10 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 829.055115 false -191.907806 -81.481018 -7.807131 4.501831 1 -152.042709 98.10041 54.534649
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 832.79248 false -138.236053 -23.075493 -7.807131 3.737366 1 376.050385 -50.503868 -157.044571
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 836.171448 false -271.187927 -68.352341 -7.807131 3.378967 1 -233.212753 -319.15036 -431.927521
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 849.257263 false -213.23262 17.174644 -7.807131 13.085815 4 9.35718 27.644136 -409.719849
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 855.767761 false -259.121979 59.073795 -7.807131 6.510498 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 858.794312 false -193.340164 -218.358444 -7.807131 3.02655 1 -45.246735 -82.535759 74.813675
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 863.127747 true -130.131668 -11.354499 -0.05 4.333435 1 255.632477 19.175329 -22.578789
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 866.5495 false -142.311584 -1.892688 -7.807131 3.421753 1 265.374878 -13.845253 -116.387276
