#Participant 1 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)5 Apr 2018 1:11:43 pm
#Tech Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 181.279129 false -61.064133 -1.773223 -7.807131 6.197067 1 183.625015 -49.376633 -19.861553
PN 184.366226 true -97.68325 46.212662 -0.05 3.087097 1 450.006073 54.802837 -12.902604
PN 188.632751 false 47.792038 39.378601 -7.80713 4.266525 1 249.516571 -4.368695 6.004408
PN 193.808807 true -105.903877 -2.839665 0.05 5.176056 1 301.120544 -92.657616 -138.460648
PN 195.12149 false 99799.0 99999.0 99991.195313 1.312683 1 0.0 0.0 0.0
PN 195.12149 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
#Participant 1 (/Game/Spooky/Maps/UserStudy/FusedTracking)5 Apr 2018 1:12:08 pm
FT 208.03093 true -4.596634 -3.028037 0.05 7.904541 1 242.258972 -16.148539 120.505585
FT 213.540253 false -154.747955 -18.367424 -7.807131 5.509323 1 318.117889 -115.70356 -264.531433
FT 217.787384 true -52.186935 35.322723 0.05 4.247131 1 334.642853 -0.621154 -29.093594
FT 220.166016 false 99799.0 99999.0 99991.195313 2.378632 1 0.0 0.0 0.0
FT 220.166016 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
#Participant 1 (/Game/Spooky/Maps/UserStudy/LeapOnly)5 Apr 2018 1:12:33 pm
LP 228.65358 false -167.287033 -16.63925 -7.807131 3.433365 1 206.998383 -51.997364 10.39272
LP 231.566376 true -123.066277 40.327381 -0.05 2.912796 1 313.310913 67.653809 -15.613417
LP 234.052658 false -317.198486 122.009857 -7.807127 2.486282 1 -45.714935 -8.197793 -13.447547
LP 237.052185 false -112.753746 54.261627 -7.807131 2.999527 1 133.850647 87.810219 66.916901
LP 238.787766 false -253.751007 -39.129303 -7.807131 1.73558 1 -62.876274 -133.661331 -41.419243
LP 241.500137 false -135.239655 37.163807 -7.807131 2.712372 1 86.28373 37.639793 94.138786
LP 243.855209 false -75.888367 -17.826149 -7.807131 2.355072 1 164.270676 -13.932439 95.813843
LP 245.24025 false 99799.0 99999.0 99991.195313 1.38504 1 0.0 0.0 0.0
LP 245.24025 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
