# Participant 2 (/Game/Spooky/Maps/UserStudy/LeapOnly)13 Apr 2018 2:47:39 pm
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 15.480007 true 1.318474 44.999939 83.689659 1.318474 44.999939 83.689659 6.0 6.813416
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 17.800751 true -2.588892 -18.000036 80.41185 -2.588892 -18.000036 80.41185 6.0 1.310602
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 19.733488 true -2.58886 -6.000038 80.41185 -2.58886 -6.000038 80.41185 6.0 0.922369
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 21.967897 true -6.725986 -45.000027 76.941231 -6.725986 -45.000027 76.941231 6.0 1.223181
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 23.967377 true -2.58893 -30.00004 80.41185 -2.58893 -30.00004 80.41185 6.0 0.988583
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 25.900427 true 5.455429 23.999939 87.160271 5.455429 23.999939 87.160271 6.0 0.921473
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 27.912247 true -2.588892 -18.000036 80.41185 -2.588892 -18.000036 80.41185 6.0 1.011456
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 29.824295 true -14.999779 27.0 70.000008 -14.999779 27.0 70.000008 6.0 0.901606
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 31.694412 true 1.318436 32.999947 83.689659 1.318436 32.999947 83.689659 6.0 0.860056
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 33.54631 true 1.318436 32.999947 83.689659 1.318436 32.999947 83.689659 6.0 0.844776
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 35.457905 true -2.58886 -6.000038 80.41185 -2.58886 -6.000038 80.41185 6.0 0.911396
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 37.325176 true 1.318436 32.999947 83.689659 1.318436 32.999947 83.689659 6.0 0.866909
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 39.123932 true -2.588818 5.999966 80.41185 -2.588818 5.999966 80.41185 6.0 0.789177
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 41.146297 true -2.58893 -30.00004 80.41185 -2.58893 -30.00004 80.41185 6.0 1.019855
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 43.001347 true -6.725777 20.999969 76.941238 -6.725777 20.999969 76.941238 6.0 0.844906
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 44.96841 true 5.455326 -6.000061 87.160271 5.455326 -6.000061 87.160271 6.0 0.954712
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 46.757843 true -14.999907 -15.0 70.0 -14.999907 -15.0 70.0 6.0 0.784462
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 48.458519 true -2.58884 -0.000042 80.41185 -2.58884 -0.000042 80.41185 6.0 0.689777
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 50.469715 false 5.455215 -42.000065 87.160263 5.455235 -36.000065 87.160263 6.0 1.011066
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 56.491402 true 5.45536 5.999943 87.160271 5.45536 5.999943 87.160271 6.0 5.010559
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 60.223995 true -6.72595 -33.000027 76.941231 -6.72595 -33.000027 76.941231 6.0 2.41917
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 62.369877 true -14.999725 45.0 70.000008 -14.999725 45.0 70.000008 6.0 1.134907
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
LP 64.391724 true 5.455273 -24.000063 87.160263 5.455273 -24.000063 87.160263 6.0 1.011303
