# Participant 2 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)13 Apr 2018 2:53:11 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 375.087372 true false 3 Red 33.880371 2 11
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 388.287598 true false 3 Green 13.200226 1 6
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 394.765656 true false 3 Blue 6.478058 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 416.334717 true false 2 Red 21.569061 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 425.556183 false true 2 Blue 9.221466 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 431.245544 false true 3 Red 5.689362 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 431.245544 false true 2 Green 0.0 0 0
 # Participant 2 (/Game/Spooky/Maps/UserStudy/LeapOnly)13 Apr 2018 2:54:46 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 443.426422 false true 2 Blue 7.114349 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 452.437439 true false 3 Blue 9.011017 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 455.380096 false true 3 Green 2.942657 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 469.92868 false false 2 Blue 14.548584 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 482.05188 true false 3 Blue 12.123199 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 489.162384 false true 2 Blue 7.110504 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 501.295715 true false 2 Blue 12.133331 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 522.242065 false false 3 Green 20.94635 2 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 526.334351 false true 2 Green 4.092285 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 526.334351 false true 2 Green 0.0 0 0
 # Participant 2 (/Game/Spooky/Maps/UserStudy/FusedTracking)13 Apr 2018 2:56:21 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 559.144775 false false 2 Green 27.726685 2 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 572.671875 false false 2 Blue 13.5271 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 584.662659 true false 2 Blue 11.990784 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 588.343201 true false 3 Green 3.680542 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 598.35675 false true 3 Red 10.01355 2 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 604.927307 true false 2 Red 6.570557 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 615.100037 true false 2 Red 10.172729 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 621.453552 false true 2 Green 6.353516 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 621.453552 false true 2 Blue 0.0 0 0
