
# Participant 2 (/Game/Spooky/Maps/UserStudy/FusedTracking)13 Apr 2018 2:59:23 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 719.825989 false -140.221573 -0.836442 -7.807131 6.444641 1 320.636444 -18.053169 -90.366486
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 722.693237 false -96.585747 -29.920887 -7.807131 2.867249 1 391.246216 -319.702118 -53.473713
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 725.448975 false -110.399239 5.694231 -7.807131 2.755737 1 172.637131 -30.935537 45.163811
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 729.359558 false -161.146683 23.056095 -7.807131 3.910583 1 239.489365 -156.791489 -192.26236
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 731.846863 false -79.256264 0.853548 -7.807131 2.487305 1 330.643311 -74.447937 -22.092686
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 734.467285 false -108.085342 87.59269 -7.807131 2.620422 1 262.388123 80.195732 -52.125175
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 738.669495 false -168.640549 -52.078777 -7.807131 4.202209 1 126.164803 -100.688484 -103.82682
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 741.633301 false -37.786057 5.350235 -7.807131 2.963806 2 298.521454 49.378391 -26.39328
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 744.245483 false -182.913055 29.695971 -7.807131 2.612183 1 51.633591 -27.862064 -76.909348
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 749.114929 true -95.163872 16.653931 0.05 4.869446 1 350.31955 22.434574 -4.520513
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 751.916382 true -44.275284 -10.36552 0.05 2.801453 1 206.262573 11.079771 21.022741
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 754.21167 false -203.773651 -34.106682 -7.807131 2.295288 1 46.088364 -47.06245 -50.614941
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 757.723389 false -183.097656 27.055338 -7.807131 3.511719 1 22.059742 -14.037598 3.070505
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 761.835999 true -116.368874 5.746992 0.05 4.11261 2 174.321838 -12.150631 -35.040775
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 765.039917 false -149.674774 -11.966664 -7.807131 3.203918 1 82.341873 -47.025398 -14.658805
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 768.059509 false -78.417618 -23.082069 -7.807131 3.019592 1 313.902344 16.998949 -19.266048
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 771.571716 true -106.286026 -35.922123 0.05 3.512207 1 237.830139 -25.155865 61.73307
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 775.238159 false -148.249115 -4.728092 -7.807131 3.666443 2 221.868408 -34.545177 34.564079
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 780.685608 false -136.925491 -6.088367 -7.807131 5.447449 2 127.969215 -30.210232 40.135124
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 784.556213 false -279.210999 -1.079219 -7.807131 3.870605 1 -59.933807 -16.529831 58.762001
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 790.549622 false -91.252533 -65.636543 -7.807131 5.993408 1 489.866486 -296.120422 -75.93409
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 793.549438 true -123.97039 -15.311478 0.05 2.999817 1 632.324646 -307.383575 -81.713478
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 796.847046 true -74.686821 -30.170254 0.05 3.297607 1 527.18927 -275.423492 21.379961
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 799.916504 false -120.304832 -13.713499 -7.807131 3.069458 1 74.518112 -4.826904 -19.390924
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 803.413513 false 99799.0 99999.0 99991.195313 3.497009 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 803.413513 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 2 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)13 Apr 2018 3:00:58 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 898.527222 false 99799.0 99999.0 99991.195313 90.023438 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 898.527222 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 2 (/Game/Spooky/Maps/UserStudy/LeapOnly)13 Apr 2018 3:02:34 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 917.594482 false -417.202393 25.064394 -7.807131 14.003418 1 -28.00931 8.191613 1.658258
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 920.259766 true 84.952393 1.675067 0.000453 2.665283 1 449.221649 -16.548927 26.027016
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 924.596375 true -33.793823 -1.592218 0.05 4.336609 1 316.783203 -47.157303 -13.346908
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 926.931519 false 146.444641 42.041561 -7.807131 2.335144 1 340.907623 -23.97846 78.427322
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 928.850647 true -122.436005 22.479406 0.05 1.919128 1 225.64325 -9.698035 -44.903435
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 932.215942 true -72.289825 43.567997 0.05 3.365295 1 349.004669 39.930786 -43.985085
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 935.750671 true 24.971924 18.85779 0.000124 3.534729 1 419.625549 7.922697 0.356383
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
