
Participant 1 (/Game/Spooky/Maps/UserStudy/FusedTracking)26 Mar 2018 2:23:25 pm
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
512.095032 true false 3 Red 32.314636 1 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
519.411194 true false 3 Green 7.316162 1 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
529.693237 true false 3 Blue 10.282043 1 3
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
546.168091 true false 2 Red 16.474854 2 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
554.462891 true false 2 Blue 8.2948 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
561.295837 false true 2 Blue 6.832947 2 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
569.015747 false true 3 Blue 7.71991 2 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
569.794189 false true 2 Red 0.778442 0 0
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
569.794189 false true 3 Green 0.0 0 0
Participant 1 (/Game/Spooky/Maps/UserStudy/LeapOnly)26 Mar 2018 2:25:00 pm
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
607.36969 true false 2 Red 32.554749 2 3
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
616.247559 false true 2 Blue 8.877869 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
629.625244 true false 3 Green 13.377686 2 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
635.291809 false true 2 Blue 5.666565 1 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
644.647766 true false 3 Red 9.355957 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
659.315369 true false 2 Blue 14.667603 2 3
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
664.82666 false true 2 Red 5.511292 2 4
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
664.82666 false true 2 Red 0.0 0 0
Participant 1 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)26 Mar 2018 2:26:35 pm
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
676.871948 true false 2 Blue 7.027527 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
690.770935 true false 3 Red 13.898987 1 3
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
695.258972 true false 3 Blue 4.488037 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
701.382507 true false 3 Red 6.123535 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
709.195007 true false 2 Red 7.8125 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
717.50647 true false 3 Green 8.311462 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
722.795044 true false 2 Red 5.288574 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
731.295715 true false 3 Green 8.500671 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
741.041321 true false 2 Blue 9.745605 2 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
751.319885 true false 3 Blue 10.278564 2 2
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
759.863586 false true 3 Blue 8.543701 1 1
Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
759.863586 false true 3 Red 0.0 0 0
