# Participant 10 (/Game/Spooky/Maps/UserStudy/LeapOnly)30 Apr 2018 1:22:30 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 862.648682 false -341.203674 -31.629349 -7.807131 15.321228 1 -331.869354 -21.707552 -146.542343
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 867.854065 false -323.814301 -137.783661 -7.807131 5.205383 1 40.436146 -142.160645 42.292469
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 873.175781 false -138.337708 -7.124353 -7.807131 5.321716 1 99.867767 -35.186436 -12.814049
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 880.100769 false -152.340347 31.189997 -7.807131 6.924988 2 155.882141 40.547081 -56.038773
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 882.974976 false -381.167053 35.409031 -7.807131 2.874207 1 -64.131226 136.026794 14.203414
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 887.378662 false -339.895325 109.950699 -7.807131 4.403687 2 -11.789491 -10.197474 5.484519
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 893.59259 false -184.362305 -0.515729 -7.807131 6.213928 1 -0.770068 -26.336712 -69.808937
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 898.948669 false -131.320801 -10.63291 -7.807131 5.356079 1 195.504623 -38.711838 -55.140755
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 904.280884 true -44.327225 30.529915 0.05 5.332214 2 188.649887 -2.64533 53.684017
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 908.389648 true -107.978058 21.933317 0.05 4.108765 2 553.328552 78.057419 -116.767212
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 915.537781 true -83.764442 -4.116925 0.05 7.148132 1 209.635712 10.357206 -27.592505
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 919.22583 false -264.115631 -42.659657 -7.807131 3.688049 1 -39.036179 -9.941838 23.280249
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 924.245789 true 6.357391 -20.071016 0.05 5.019958 1 331.590088 47.390766 -80.675262
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 927.722168 false -347.524536 74.087006 -7.807131 3.476379 1 11.95751 42.980511 19.617001
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 931.325012 false -280.183044 36.43697 -7.807131 3.602844 1 -30.6924 -6.773064 8.795797
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 934.494812 false -251.466492 33.469906 -7.807131 3.1698 1 0.868037 -11.502316 8.162697
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 937.168518 false -338.837036 73.203064 -7.807131 2.673706 1 -13.409519 46.638725 -18.715618
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 937.345703 false 99799.0 99999.0 99991.195313 0.177185 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 937.345703 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 10 (/Game/Spooky/Maps/UserStudy/FusedTracking)30 Apr 2018 1:24:05 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 945.917053 false -165.34462 21.971592 -7.807131 3.490662 2 219.292343 -30.284485 -36.212784
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 950.181458 false -156.43895 -1.675464 -7.807131 4.264404 1 227.264008 49.843658 -133.380264
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 955.501221 true -130.361359 -9.022398 -0.05 5.319763 1 371.429535 83.804535 -208.960678
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 959.209778 false -289.748657 50.27335 -7.807131 3.708557 1 -54.242695 0.655822 11.181926
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 964.336365 false -152.952606 26.273432 -7.807131 5.126587 1 334.644806 -47.60778 -104.364548
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 967.840942 false -293.978088 136.633835 -7.807131 3.504578 1 -46.569324 -12.108213 42.922886
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 972.823853 false -147.645584 2.455869 -7.807131 4.98291 1 158.398026 -8.102456 -40.080406
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 977.52948 false -106.699821 -27.917318 -7.807131 4.705627 2 221.038147 -19.948517 -34.096489
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 981.699219 false -173.763504 29.123587 -7.807131 4.169739 1 37.006695 40.927349 4.894135
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 987.578125 false -143.181625 -11.595307 -7.807131 5.878906 1 273.220642 69.639786 -131.86351
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 991.91095 false -173.132767 29.80283 -7.807131 4.332825 2 68.260628 -3.636728 -24.386513
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 997.001892 false -163.005692 18.642504 -7.807131 5.090942 1 292.122009 -2.421428 -293.326477
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1001.779114 false -146.593994 30.666277 -7.807131 4.777222 1 177.918167 -1.091422 -135.627899
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1006.642822 false -193.650986 -7.422176 -7.807131 4.863708 3 21.834454 -0.596589 -54.986385
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1010.95929 false -170.047241 5.073208 -7.807131 4.316467 1 110.360245 36.284248 23.396807
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1016.673584 false -128.011169 -52.254108 -7.807131 5.714294 1 141.324738 -12.778659 -55.329018
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1019.945801 false -120.433647 -61.853928 -7.807131 3.272217 1 140.923691 -117.425972 178.97493
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1023.821899 false -30.177322 -142.688492 -7.807131 3.876099 1 104.248947 -45.24268 155.052521
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1027.763184 false 41.585388 48.996521 -7.807131 3.941284 1 130.220306 47.928078 236.717575
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1031.529297 true -35.07576 46.374214 -0.05 3.766113 1 162.725708 43.284286 355.310364
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1032.450073 false 99799.0 99999.0 99991.195313 0.920776 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1032.450073 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 10 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)30 Apr 2018 1:25:40 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1042.134644 false -152.127396 26.609505 -7.807131 4.614624 1 247.648514 -18.255817 408.790222
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1046.073608 false 11.462967 31.474422 -7.807131 3.938965 1 294.327698 41.153503 68.138794
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
