# Participant 11 (/Game/Spooky/Maps/UserStudy/LeapOnly)2 May 2018 1:03:09 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 889.013672 false -258.615051 68.859566 -7.807131 4.693542 1 -61.45137 88.632881 -95.591728
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 892.911743 false -385.538879 33.32988 -7.807131 3.898071 1 -58.111237 5.477707 -11.12792
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 898.105835 false -158.122589 22.057505 -7.807131 5.194092 2 -12.781781 51.559002 -184.688568
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 904.789917 false -219.417114 7.150946 -7.807131 6.684082 1 129.323151 -44.991703 -100.304771
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 908.124817 false -179.302368 37.516869 -7.807131 3.3349 3 -40.978691 50.92815 4.975355
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 912.317932 false -179.182938 26.571564 -7.807131 4.193115 2 -39.731674 16.552094 -6.400462
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 916.248779 false -340.783936 -1175.717529 -7.807131 3.930847 1 -33.833153 50.120045 72.990776
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 931.433716 false -168.593231 -5.617805 -7.807131 15.184937 1 -47.253361 48.411621 -27.751287
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 935.317505 false -5.564148 16.368639 -7.807131 3.883789 1 336.316528 -61.741806 3.904236
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 941.506226 false -141.762939 -8.737267 -7.807131 6.188721 2 35.767288 -34.980507 -7.286703
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 945.784851 false -20.231308 -3.389827 -7.807131 4.278625 1 455.810059 17.597639 -87.362656
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 950.377258 false -245.597198 103.750389 -7.807131 4.592407 1 -13.630574 121.973 -47.084087
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 953.374023 false -372.597595 83.929604 -7.807127 2.996765 2 8.402412 -64.735542 35.842472
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 958.126709 false -189.50322 26.53319 -7.807131 4.752686 2 -57.714905 25.358618 50.248852
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 962.03009 false 3.37944 -3.469403 -7.807131 3.903381 1 422.515503 -129.594818 -13.525777
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 966.913818 false -20.062805 114.933731 -7.807131 4.883728 1 408.621368 -51.801304 -74.163116
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 970.890015 false -184.345428 28.036964 -7.807131 3.976196 3 -17.697689 10.216416 7.176861
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 974.355103 false 99799.0 99999.0 99991.195313 3.465088 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 974.355103 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 11 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)2 May 2018 1:04:44 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 988.802612 false -158.802643 -53.66708 -7.807131 9.312439 1 92.856033 -114.245888 -144.930557
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 994.834595 false -193.302948 22.874971 -7.807131 6.031982 3 8.612123 113.283531 -100.338326
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1001.703857 false -131.594513 -54.457733 -7.807131 6.869263 1 103.505554 -50.71286 -40.507767
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1009.677551 false -136.007889 -123.926193 -7.807131 7.973694 1 40.405846 -87.463676 -61.910572
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1015.065186 false -146.281433 -65.332787 -7.807131 5.387634 1 154.525146 -181.764938 -64.382286
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1023.830872 false -182.514099 48.84565 -7.807131 8.765686 3 25.972839 -11.614208 16.44882
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1030.355713 true -82.597885 -99.097115 0.05 6.524841 1 118.721397 -55.187664 0.221197
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1035.177612 false -223.457047 5.170719 -7.807131 4.821899 1 -121.12825 112.706139 -233.602402
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1039.767578 false -205.475266 23.570751 -7.807131 4.589966 1 60.570946 49.11132 -135.61026
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1043.882324 false -182.840073 7.901917 -7.807131 4.114746 1 26.977644 24.920355 201.321411
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1048.00293 false -211.516388 -25.847195 -7.807131 4.120605 1 184.445465 -73.934563 -640.306213
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1052.227417 false -212.798416 23.603474 -7.807131 4.224487 2 -4.913842 50.307312 -65.209793
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1055.687988 false -222.887848 -104.750969 -7.807131 3.460571 1 17.549664 -174.589584 94.416809
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1061.067383 false -240.130737 -22.437788 -7.807131 5.379395 1 -62.768917 30.026396 -304.413483
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1067.078735 false -227.341583 96.938316 -7.807131 6.011353 3 -22.432127 82.678505 -7.902118
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1069.518433 false 99799.0 99999.0 99991.195313 2.439697 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1069.518433 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 11 (/Game/Spooky/Maps/UserStudy/FusedTracking)2 May 2018 1:06:19 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1092.980225 false -258.197174 61.438641 -7.807131 18.355713 1 -10.733137 9.048795 1.344445
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1099.305786 false -136.731613 -24.80942 -7.807131 6.325562 1 149.574158 47.313828 -149.093155
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1103.931274 false -130.09407 16.664715 -7.807131 4.625488 1 44.720352 30.030428 -9.11152
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1108.746826 true -124.053925 36.310944 -0.05 4.815552 1 85.975807 125.804901 -57.112057
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1112.958618 false -152.387802 52.797581 -7.807131 4.211792 1 58.880276 85.529594 5.324739
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1117.840576 false -108.269867 27.024761 -7.80713 4.881958 1 107.621025 35.096451 68.715317
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1122.171753 false -168.075897 -9.847398 -7.807131 4.331177 1 217.022369 26.399178 -212.189957
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1128.131958 false -151.001343 -13.426462 -7.807131 5.960205 1 144.951447 -14.291771 -198.024399
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1132.88208 false -161.642471 7.446103 -7.807131 4.750122 1 155.705856 124.990608 -200.566788
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1138.035034 false -183.27153 54.977367 -7.807131 5.152954 1 15.848628 13.524177 22.980103
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1152.042725 false -134.720459 -81.153893 -7.807131 14.00769 4 116.699142 -112.913788 94.700592
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1156.88855 false -147.79068 -53.85878 -7.807131 4.845825 1 104.866119 -38.755898 -107.887291
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1161.474976 false -144.325348 -22.151421 -7.807131 4.586426 1 93.743073 -38.615883 -60.455727
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1164.67041 false 99799.0 99999.0 99991.195313 3.195435 1 138.284607 -111.259476 -153.091446
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1164.67041 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
