 # Participant 12 (/Game/Spooky/Maps/UserStudy/LeapOnly)3 May 2018 1:21:58 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 515.545898 true false 2 Red 12.994629 1 6
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 520.565857 false true 2 Green 5.019958 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 528.68927 true false 3 Blue 8.123413 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 536.30011 false true 2 Blue 7.61084 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 548.723633 false true 2 Red 12.423523 1 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 555.780579 true false 3 Blue 7.056946 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 560.569397 false true 2 Red 4.788818 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 572.226013 true false 2 Blue 11.656616 2 8
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 577.637329 true false 3 Green 5.411316 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 581.103271 false true 2 Red 3.465942 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 585.909607 false true 3 Blue 4.806335 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 592.57196 false true 3 Blue 6.662354 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 592.57196 false true 3 Green 0.0 0 0
 # Participant 12 (/Game/Spooky/Maps/UserStudy/FusedTracking)3 May 2018 1:23:33 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 619.656006 true false 3 Blue 22.012695 2 9
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 622.601685 false true 2 Blue 2.945679 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 633.501099 true false 3 Red 10.899414 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 637.580566 true false 3 Green 4.079468 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 644.315979 false true 2 Blue 6.735413 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 651.745361 true false 2 Green 7.429382 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 660.068848 true false 2 Blue 8.323486 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 664.851563 true false 3 Green 4.782715 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 674.888916 true false 3 Green 10.037354 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 682.085327 true false 3 Green 7.196411 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 685.085815 true false 3 Red 3.000488 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 687.668945 false true 2 Green 2.58313 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 687.668945 false true 3 Red 0.0 0 0
 # Participant 12 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)3 May 2018 1:25:09 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 707.779236 true false 2 Blue 15.047546 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 718.377991 true false 2 Red 10.598755 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 722.996704 true false 2 Green 4.618713 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 727.932495 true false 2 Red 4.935791 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 734.321655 true false 2 Red 6.38916 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 739.58783 true false 2 Green 5.266174 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 750.595947 true false 3 Blue 11.008118 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 756.509705 true false 2 Green 5.913757 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 761.281067 true false 3 Blue 4.771362 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 765.235352 true false 3 Blue 3.954285 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 770.988586 true false 2 Red 5.753235 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 773.893311 true false 3 Blue 2.904724 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 777.076111 true false 3 Blue 3.1828 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 782.746704 false true 2 Green 5.670593 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 782.746704 false true 3 Red 0.0 0 0
