# Participant 12 (/Game/Spooky/Maps/UserStudy/FusedTracking)3 May 2018 1:29:17 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 950.054504 true -93.94471 54.16198 0.05 8.504822 1 84.603516 -32.505123 -31.523273
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 954.48291 false -144.291061 -5.223511 -7.807131 4.428406 1 159.252121 23.771168 149.283249
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 958.501526 false -142.330734 15.688416 -7.807131 4.018616 1 121.434029 60.681297 194.228653
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 964.30127 false -150.273056 14.585511 -7.807131 5.799744 1 295.561859 81.354385 -377.143951
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 968.024963 false -145.205322 -8.411832 -7.807131 3.723694 1 67.743118 -26.144756 -26.010204
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 973.740356 false -137.427002 -5.355803 -7.807131 5.715393 1 20.236671 82.386711 260.117279
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 982.447754 true 2.259521 -59.032681 -0.00064 8.707397 1 206.033615 -66.02018 45.075741
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 986.506104 true -24.671173 10.453906 0.05 4.05835 1 437.182129 -315.75238 194.34967
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 990.305481 true -131.25 0.000052 0.049962 3.799377 1 64.729332 14.262569 114.864922
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 994.612671 false -35.980835 85.246887 -7.807131 4.30719 1 166.024673 96.664177 215.582397
