# Participant 13 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)4 May 2018 1:29:31 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 832.66803 true -26.969009 -96.992828 0.05 7.654114 3 19.055071 1.276966 52.632095
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 841.801941 false -219.514938 12.791221 -7.807131 9.133911 1 0.474045 -29.180546 25.917122
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 847.638 false -184.369949 -35.404247 -7.807131 5.83606 2 43.346123 0.723796 162.564117
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 851.66925 false -243.677826 12.449479 -7.807131 4.03125 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 857.936768 false -175.438568 8.35763 -7.807131 6.267517 1 34.065105 12.685349 106.957344
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 872.626282 false -243.201477 12.933014 -7.807131 14.689514 4 -10.07904 -10.415215 21.912058
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 878.209473 false -216.466476 -10.088983 -7.807131 5.583191 1 5.15428 -95.986626 -9.33184
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 882.427307 false -182.808472 1.400025 -7.807131 4.217834 1 93.050766 -84.595108 275.863007
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 887.020508 false -217.60083 3.044043 -7.807131 4.593201 1 1.990797 -13.524081 -7.451928
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 894.192078 false -216.329987 9.758358 -7.807131 7.17157 1 5.266285 -13.572903 -20.750202
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 898.183289 false -202.071106 13.089828 -7.807131 3.991211 1 28.841253 -142.791824 208.63205
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 906.871887 false -201.360458 -150.892242 -7.807131 8.688599 1 51.949791 -211.130875 315.373901
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 915.028992 false 99799.0 99999.0 99991.195313 8.157104 3 -7.172812 0.972286 -14.512027
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 915.028992 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 13 (/Game/Spooky/Maps/UserStudy/FusedTracking)4 May 2018 1:31:06 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 946.320496 false -228.655746 87.609367 -7.807131 26.208862 2 -2.008164 2.55323 -4.688969
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 952.762756 false -244.401962 87.261009 -7.807131 6.442261 5 -10.721107 7.142442 -5.614717
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 963.744385 false -223.968689 87.823967 -7.807131 10.981628 4 3.153331 1.626744 -2.154676
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 970.263733 false -223.640594 -28.312201 -7.807131 6.519348 2 -33.621101 -81.931786 191.141388
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 981.368286 false -255.420609 82.809761 -7.807131 11.104553 4 -18.648417 29.704813 32.448856
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 985.502808 false -138.537369 -74.546387 -7.807131 4.134521 3 21.833994 -56.13921 97.212891
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 996.902039 false -258.718079 27.207964 -7.807131 11.399231 3 -167.749634 117.670174 160.993073
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1001.768066 false -154.146484 36.089508 -7.807131 4.866028 1 231.746368 -23.153261 -158.988129
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1010.145996 false 99799.0 99999.0 99991.195313 8.37793 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1010.145996 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 13 (/Game/Spooky/Maps/UserStudy/LeapOnly)4 May 2018 1:32:41 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1034.156128 false -222.101196 14.014363 -7.807131 18.944519 2 -22.738932 22.348183 203.957397
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1040.770752 false -172.130646 43.263092 -7.807131 6.614624 2 177.200577 67.322617 -142.631104
