# Participant 14 (/Game/Spooky/Maps/UserStudy/FusedTracking)15 May 2018 9:34:56 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 943.07605 false -179.002365 19.795876 -7.807131 6.714844 1 173.163879 28.579962 -290.931244
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 946.724976 true 70.325897 -31.891373 0.05 3.648926 1 260.027618 -40.809769 -12.732403
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 950.369507 false -89.23484 40.923748 -7.807131 3.644531 1 816.134949 108.26741 -248.019241
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 953.566956 false -127.056084 2.400097 -7.80713 3.197449 1 700.028442 -91.062881 -420.217224
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 956.591492 false -144.421661 -9.262313 -7.80713 3.024536 1 484.341187 -143.825531 -420.781708
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 963.634033 true -122.499458 -5.013805 0.05 7.042542 2 127.68084 22.334436 -54.962463
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 967.345459 true -107.789063 -27.057949 -0.05 3.711426 1 546.638 117.138168 -138.469299
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 970.967957 false -167.460052 -27.121361 -7.807131 3.622498 2 259.913452 -30.207375 -79.014534
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 974.297913 false 2.179092 -11.902892 -7.807131 3.329956 2 252.461578 15.918229 38.929203
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 977.433533 false -148.875626 12.242747 -7.807131 3.13562 1 155.286713 77.852295 -152.662842
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 980.701111 false -169.422729 -34.559162 -7.807131 3.267578 1 416.992401 -38.800522 -342.360504
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 983.882629 false -134.453735 -38.428303 -7.807131 3.181519 1 708.098145 77.536308 -308.73111
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 986.768921 false -73.808235 18.360994 -7.807131 2.886292 1 392.178192 69.551857 -60.899426
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 991.6203 true -26.43808 33.601936 0.05 4.851379 1 171.194366 52.860252 1.812193
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 994.79834 true 0.000092 54.365784 0.000201 3.17804 1 535.457886 10.475031 68.08577
