# Participant 15 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)17 May 2018 9:31:00 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 864.433777 false -220.526871 0.977206 -7.807131 7.316406 4 -2.552901 -1.97818 -1.75318
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 870.154968 false -159.648407 3.817279 -7.807131 5.721191 1 332.713501 -126.660172 -466.537476
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 880.482239 false -107.631355 -5.378635 -7.807131 10.327271 1 539.864319 -106.77227 -235.089752
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 894.564453 false -321.511841 60.806309 -7.807131 14.082214 2 -12.8323 -4.015812 8.27483
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 898.740967 false -235.470901 -25.243048 -7.807131 4.176514 1 16.989515 -17.275208 17.260717
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 903.065063 false -251.493347 27.148394 -7.807131 4.324097 1 4.783783 -9.559495 5.933383
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 907.459351 true -122.440018 33.97794 0.05 4.394287 2 151.781906 -9.805884 -85.072037
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 911.919312 false -185.527298 9.851825 -7.807131 4.459961 1 152.470673 -183.851303 74.031876
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 916.225037 false -171.284897 -7.166853 -7.807131 4.305725 1 69.92643 -37.435337 23.287748
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 921.368164 false -222.554611 -28.376225 -7.807131 5.143127 1 16.749996 -6.436409 11.114406
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 925.349426 false -147.061737 12.726644 -7.807131 3.981262 1 153.640976 -79.625099 -191.406204
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 930.116333 false -172.432846 12.908941 -7.807131 4.766907 1 74.6679 -50.502964 -60.05991
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 933.914795 false -150.39267 9.963898 -7.807131 3.798462 1 84.65992 -117.6241 -69.551178
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 937.866943 false -145.323792 -47.256176 -7.807131 3.952148 1 126.51947 -46.668938 -137.854309
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 944.486511 false -257.813171 38.46632 -7.807131 6.619568 1 -12.545429 0.257349 39.191467
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 947.138123 false 99799.0 99999.0 99991.195313 2.651611 1 -0.895732 -3.921946 8.204865
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 947.138123 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 15 (/Game/Spooky/Maps/UserStudy/LeapOnly)17 May 2018 9:32:35 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 956.078186 false -276.438629 43.78743 -7.807131 3.885864 1 -45.747055 -0.598845 21.836433
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 959.929993 true -125.063263 37.686859 0.05 3.851807 1 58.429146 176.220581 -129.89949
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 963.919556 true -125.853935 5.954135 0.05 3.989563 1 87.13028 62.381905 -195.36264
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 967.516846 true -116.307083 11.880439 0.05 3.59729 1 235.224625 -66.168274 -264.207794
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 976.642578 false -130.774689 -44.005543 -7.807131 9.125732 1 117.483536 10.081934 -190.761368
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 979.740479 false -313.137421 -130.847015 -7.807131 3.0979 1 -142.050629 -1.293228 69.406563
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 984.102783 true -119.815361 -29.526617 0.05 4.362305 1 13.572275 16.773476 -18.212702
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 988.85907 false -201.513382 -1.14354 -7.807131 4.756287 2 -18.521463 2.456905 2.894327
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 992.083923 true -79.778778 32.047649 0.05 3.224854 1 286.938965 -91.377708 -139.178299
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 998.152405 true -119.039261 -44.954128 0.05 6.068481 1 184.617661 -208.782425 -24.792149
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1002.059937 false -154.152527 31.288532 -7.807131 3.907532 1 164.773727 284.487823 -458.757324
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1010.01355 true -111.235367 29.442875 0.05 7.953613 1 248.792267 9.511551 -231.449753
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1012.762207 false -371.195038 -9.798296 -7.807131 2.748657 2 -51.823177 29.77655 7.511448
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1016.733704 true -99.298706 -18.42709 0.05 3.971497 1 170.010986 348.857147 -306.997955
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1020.138245 false -243.784332 -297.72464 -7.807131 3.404541 2 186.83519 -420.085297 -388.45343
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1023.37439 true -17.126755 41.664413 0.05 3.236145 2 251.462906 -108.26944 -47.663536
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1026.957397 false -194.391922 -573.060852 -7.807131 3.583008 1 31.952948 -140.87793 -178.116806
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1030.190552 true -73.659523 -7.379271 0.05 3.233154 1 471.726166 -44.112434 -290.440613
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1033.536133 true -42.193771 -18.823118 0.05 3.345581 1 378.764709 -127.917824 -136.475769
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1037.063232 true -118.322723 25.673803 0.05 3.5271 1 95.822212 -92.639389 -99.531036
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1040.103882 false -372.968445 22.167505 -7.807131 3.040649 1 179.962814 -66.638512 32.223461
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1042.210205 false 99799.0 99999.0 99991.195313 2.106323 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1042.210205 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 15 (/Game/Spooky/Maps/UserStudy/FusedTracking)17 May 2018 9:34:10 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1051.523682 false -147.2267 45.060448 -7.807131 4.236816 1 125.726875 -144.348175 -98.398499
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1055.864868 false -149.546799 25.112072 -7.807131 4.341187 1 208.667892 17.981972 -278.658661
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1059.850586 false -145.023163 18.479004 -7.807131 3.985718 1 282.858612 -158.246292 -273.283234
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1064.186401 false -153.936432 -4.668864 -7.807131 4.335815 1 17.011677 -81.042938 -87.025833
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1068.435181 false -98.385468 -36.818794 -7.807131 4.248779 1 166.821106 -56.424904 -99.718315
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1073.086548 true -102.691963 -18.981302 0.05 4.651367 1 133.578003 -51.611015 -34.223183
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1076.957764 false -256.553284 16.248652 -7.807131 3.871216 2 -13.862654 -19.304976 25.24493
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1080.513184 true -129.266296 20.140867 -0.049978 3.55542 1 156.50972 -46.226292 -102.290558
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1084.327637 false -120.555954 -10.591877 -7.807131 3.814453 1 313.297058 -42.027142 -234.001633
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1088.155396 false -162.128571 -9.128132 -7.807131 3.827759 1 346.161682 -95.075142 -301.675659
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1097.369751 true -48.847351 -48.707607 0.050001 9.214355 2 196.805099 -139.016846 -57.046509
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1102.304688 false -292.22522 62.700035 -7.807131 4.934937 1 -5.554516 7.038247 -2.54256
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1106.649048 true -90.438354 -13.888106 0.05 4.34436 1 457.857208 -125.336006 -57.034073
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1112.195923 false -133.47757 7.112181 -7.807131 5.546875 1 315.697571 -140.531158 -80.505432
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1117.546753 false -92.273705 -38.440998 -7.807131 5.35083 1 491.508911 -175.131042 -225.572006
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1122.339233 false -258.102295 53.891369 -7.807131 4.79248 2 -17.519951 10.978863 19.487022
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1125.665649 false -73.577652 -52.96463 -7.807131 3.326416 2 204.815704 -168.472885 -101.727409
