# Participant 16 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)21 May 2018 3:13:31 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 904.40332 false -235.278473 12.473376 -7.807131 8.737427 3 -37.867241 -10.312416 52.605888
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 908.938416 true -52.845703 -40.575058 0.05 4.535095 1 379.98822 -295.150269 -22.797953
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 915.05072 false -83.970779 -38.719383 -7.807131 6.112305 1 348.651428 -72.373657 -74.283646
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 921.340271 false -128.078751 20.00078 -7.807131 6.289551 1 469.472321 -125.688858 8.935283
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 925.539795 true 26.610596 -92.84388 -0.000709 4.199524 4 373.035278 -246.073471 92.829887
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 932.478577 true -77.396118 -3.870445 0.05 6.938782 1 656.694702 -279.085022 94.174393
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 938.358337 false -269.850739 29.130611 -7.807131 5.879761 4 -15.596572 -13.097386 7.992076
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 944.119446 false -128.072495 51.855068 -7.807131 5.761108 3 123.547272 -10.429255 7.039798
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 949.184021 false 812.533203 -432.198334 -7.807131 5.064575 1 79.612434 -22.221188 39.186691
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 951.963196 false -281.346863 60.508324 -7.807131 2.779175 2 -64.36985 12.044687 104.018181
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 955.230652 false -251.548737 46.163853 -7.807131 3.267456 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 958.852234 true -111.606949 -39.08902 -0.05 3.621582 1 108.726372 -54.787434 37.6604
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 962.741211 false -96.903244 11.990619 -7.807131 3.888977 1 97.970985 2.761385 -18.639135
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 966.36377 false -219.183273 13.940502 -7.807131 3.622559 2 16.567289 -15.386572 8.544759
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 971.674866 false -269.358154 20.16848 -7.807131 5.311096 2 2.610816 -8.572405 4.340715
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 975.78833 true -81.573601 -0.123185 0.05 4.113464 2 320.983093 -88.154137 -10.072203
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 981.743591 false -145.51033 11.460673 -7.807131 5.955261 2 304.223572 -207.044662 42.710449
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 985.697083 false 99799.0 99999.0 99991.195313 3.953491 1 -41.354679 12.553146 69.720863
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 985.697083 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 16 (/Game/Spooky/Maps/UserStudy/FusedTracking)21 May 2018 3:15:06 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 997.211121 false -258.253815 67.34375 -7.807131 6.43457 2 -24.127792 28.705435 57.779716
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1002.500244 true -107.358719 24.32198 0.05 5.289124 3 136.790833 -49.206745 29.517229
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1005.835693 true -76.135742 30.969086 0.05 3.335449 1 176.867538 8.816976 -38.004959
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1012.992004 false -145.592773 -17.858704 -7.807131 7.156311 2 366.604584 -8.045963 -69.88401
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1018.364929 false -66.304474 -9.612976 -7.807131 5.372925 2 123.258095 -25.093996 100.173531
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1022.065002 false -63.229752 -36.936501 -7.807131 3.700073 2 159.97847 -31.832844 171.969559
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1027.52417 false 47.889511 10.288715 -7.807131 5.459167 2 131.217102 27.093193 124.72261
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1032.211304 false -183.352036 87.867577 -7.807131 4.687134 3 72.916306 30.189869 184.004089
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1035.367676 false -116.177704 28.813343 -7.807131 3.156372 1 120.708557 -25.720995 164.634445
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1040.656372 false -236.552567 87.56292 -7.807131 5.288696 1 -5.941806 11.280496 11.27554
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1043.970337 true -84.477921 -58.429081 0.05 3.313965 1 302.439392 -166.360367 -23.095114
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1046.838623 false -259.402283 86.027412 -7.807131 2.868286 1 -53.978573 44.980637 22.893156
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1050.838379 true -128.733276 -22.264582 0.05 3.999756 1 263.533478 -74.258095 -99.268654
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1053.836792 false -244.510529 88.441925 -7.807131 2.998413 1 -24.725542 36.858063 37.593658
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1056.741333 false -246.780975 88.245735 -7.807131 2.904541 1 -24.54446 35.482635 39.527008
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1060.924316 false -258.486115 49.817398 -7.807131 4.182983 1 -6.047113 -15.654658 12.731977
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1063.663818 false -269.861908 55.547482 -7.807131 2.739502 1 -42.812332 -1.73765 33.763542
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1067.131104 false -253.613251 59.219223 -7.807131 3.467285 1 -45.287254 4.791226 31.84594
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1070.794434 true -117.425652 5.669652 0.05 3.66333 1 163.060852 -124.174576 38.412281
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1074.196045 false -129.247681 -34.796188 -7.807131 3.401611 1 105.912338 -90.570702 110.115936
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1078.170654 false -257.903076 54.269024 -7.807131 3.974609 1 -31.114107 -2.773814 42.072369
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1080.799927 false 99799.0 99999.0 99991.195313 2.629272 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1080.799927 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 16 (/Game/Spooky/Maps/UserStudy/LeapOnly)21 May 2018 3:16:41 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1090.513794 false -268.863098 36.961658 -7.807131 4.666382 2 29.60548 -14.01949 2.345771
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1093.81311 false -99.746132 -49.468822 -7.807131 3.299316 1 167.296967 -176.979889 -53.123497
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1097.044189 false -257.54126 37.732513 -7.807131 3.231079 1 -63.052456 1.549462 60.570568
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1100.318848 true -119.36879 -38.7005 0.05 3.274658 1 303.835358 -78.744843 -160.300446
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1103.323853 true -94.827538 -7.248069 0.05 3.005005 1 399.704254 -68.613228 -36.790066
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1106.017578 true -95.381836 -40.932327 0.05 2.693726 1 284.33493 -218.308823 -4.207986
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1108.39563 false -261.97171 94.326218 -7.807131 2.378052 1 -1.516856 29.982775 11.839926
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1111.345581 false -236.40387 -0.727678 -7.807131 2.949951 1 -5.292023 -6.101392 7.718925
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
