 # Participant 17 (/Game/Spooky/Maps/UserStudy/FusedTracking)22 May 2018 11:30:12 am
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 530.550781 true false 2 Blue 21.115967 2 13
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 544.84082 true false 3 Green 14.290039 2 7
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 555.037659 true false 3 Green 10.196838 1 7
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 574.396301 true false 3 Blue 19.358643 1 8
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 579.973694 false true 2 Red 5.577393 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 592.686523 false true 2 Blue 12.71283 2 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 599.46405 false true 3 Blue 6.777527 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 599.46405 false true 2 Red 0.0 0 0
 # Participant 17 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)22 May 2018 11:31:47 am
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 620.622681 true false 2 Blue 16.085876 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 627.886719 false false 2 Red 7.264038 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 633.712219 true false 2 Blue 5.8255 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 639.934814 true false 2 Red 6.222595 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 644.133362 true false 2 Red 4.198547 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 652.492554 true false 3 Blue 8.359192 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 656.312439 true false 3 Red 3.819885 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 666.292419 true false 2 Blue 9.97998 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 672.315552 true false 3 Green 6.023132 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 678.759888 true false 3 Blue 6.444336 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 684.136597 true false 2 Red 5.376709 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 690.294006 false false 2 Blue 6.15741 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 694.581238 false true 2 Green 4.287231 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 694.581238 false true 3 Blue 0.0 0 0
 # Participant 17 (/Game/Spooky/Maps/UserStudy/LeapOnly)22 May 2018 11:33:22 am
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 710.438171 true false 3 Red 10.78479 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 712.729492 false true 2 Red 2.291321 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 718.2724 false true 3 Blue 5.542908 2 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 723.048279 false false 3 Blue 4.775879 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 728.316956 true false 2 Red 5.268677 1 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 731.869995 true false 3 Green 3.55304 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 737.27417 false true 2 Red 5.404175 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 740.275818 false true 2 Blue 3.001648 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 745.154724 true false 2 Red 4.878906 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 749.084229 true false 3 Green 3.929504 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 755.185852 false true 3 Red 6.101624 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 760.79541 true false 2 Blue 5.609558 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 765.340637 false true 2 Blue 4.545227 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 769.377258 false true 3 Red 4.036621 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 775.199951 false false 2 Blue 5.822693 2 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 781.03479 false false 3 Green 5.834839 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 783.558228 false true 2 Green 2.523438 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 788.907471 true false 3 Blue 5.349243 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 789.690125 false true 2 Red 0.782654 0 0
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 789.690125 false true 3 Blue 0.0 0 0
