# Participant 17 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)22 May 2018 11:36:57 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 919.06665 false -129.195465 18.691099 -7.807131 4.26123 1 757.543884 19.390728 -246.75972
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 921.734863 false -137.883118 -1.426044 -7.807131 2.668213 1 186.169296 -22.537867 -184.448746
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 926.777466 false -129.049805 3.531292 -7.807131 5.042603 1 168.756363 -4.511303 -100.85997
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 931.377747 false -116.799957 14.116315 -7.807131 4.600281 1 478.284637 50.790157 -250.001144
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 934.712769 true -76.60128 35.913231 -0.05 3.335022 1 532.260925 23.718166 -70.677422
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 937.825623 true -109.682976 22.604404 0.05 3.112854 1 643.625061 -38.006775 27.619661
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 940.672363 false -78.664246 -86.424118 -7.807131 2.846741 1 171.536499 -114.826157 19.228456
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 944.608093 false 47.435425 20.651943 -7.807131 3.93573 1 213.749405 16.138023 60.673615
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 956.154419 true -107.714584 52.095272 0.05 11.546326 1 133.097092 57.519882 -7.202215
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 959.136536 false -172.05658 62.328339 -7.807131 2.982117 1 438.164124 19.393291 -84.19236
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 961.692566 true -58.634811 -62.614864 0.05 2.55603 1 482.39386 -198.09816 0.181339
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 964.292358 false -134.456497 13.394611 -7.807131 2.599792 1 673.171082 -10.442642 -332.512665
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 967.603943 true -69.001862 36.881477 -0.05 3.311584 1 196.2668 116.558983 -8.462989
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 973.155334 true -119.435608 14.190792 0.05 5.551392 1 142.420929 10.057297 -53.575172
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 975.426147 true -14.745697 -9.705907 0.05 2.270813 1 664.394043 -285.091919 65.989174
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 977.871948 false -47.96283 12.354787 -7.807131 2.445801 1 309.460114 38.575844 -46.343025
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 981.47113 false -133.569977 -0.830528 -7.807131 3.599182 1 222.917236 -88.666176 -124.380363
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 985.932922 false -26.916351 -47.255939 -7.807131 4.461792 1 205.129288 -78.917427 91.226242
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 988.425842 false -28.583557 12.877242 -7.80713 2.49292 1 256.8927 -8.849846 32.85202
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 991.447937 true -32.919479 -27.56249 0.05 3.022095 1 198.875427 -66.203979 98.314056
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 993.627625 true -77.152344 8.53837 0.05 2.179688 1 132.336533 41.520664 -35.933949
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 996.06958 false -129.610779 39.861973 -7.807131 2.441956 1 430.0802 10.346424 33.831905
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 998.514832 true -49.047028 0.000017 0.05 2.445251 1 334.228241 -66.723694 10.644778
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1002.450928 true -73.200943 0.000008 0.05 3.936096 1 456.754059 9.332775 -104.595436
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1004.844788 false 99799.0 99999.0 99991.195313 2.39386 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1004.844788 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 17 (/Game/Spooky/Maps/UserStudy/LeapOnly)22 May 2018 11:38:32 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1013.418762 false -290.729065 14.339219 -7.807131 3.50061 1 -54.197372 -27.002777 -83.679283
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1016.700623 false -276.255463 58.26075 -7.807131 3.28186 2 -44.459248 9.167767 -34.36232
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1022.282715 false -221.960373 -128.879501 -7.807131 5.582092 1 2.826044 -188.856949 -15.695781
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1024.682373 true -125.31694 3.965505 0.05 2.399658 1 489.009796 -20.383799 -225.843185
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1026.026489 false -333.130737 -154.545288 -7.807127 1.344116 1 46.525658 -144.107895 61.538654
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1029.56543 false -295.130066 48.901569 -7.807131 3.53894 1 -150.300034 30.078716 3.437939
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1032.694946 false -80.763626 -140.213806 -7.807131 3.129517 2 245.123825 -222.321442 -44.018921
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1035.783081 true -111.475113 -32.234299 0.05 3.088135 1 400.434113 -73.883003 -157.407043
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1038.598267 true -32.234787 -5.375627 0.05 2.815186 2 352.956146 -151.259262 -41.821613
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1040.483276 false -251.664841 38.091263 -7.807131 1.88501 1 17.058596 -29.589495 -68.469299
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1044.483887 true -56.889359 -15.807106 0.05 4.00061 2 361.048737 -62.046551 -26.899508
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1047.217651 true -74.225464 -36.580513 0.05 2.733765 2 707.290466 -173.847092 -143.816544
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1050.147583 true -97.929237 -42.604591 0.05 2.929932 1 309.537109 -110.804504 -92.960358
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1052.55896 false -257.041748 36.673347 -7.807131 2.411377 1 -22.638943 7.293374 21.120167
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1055.225708 true -81.09304 -18.394012 0.050001 2.666748 1 731.471191 -76.804131 -183.149628
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1057.317749 false -293.974335 55.559616 -7.807131 2.092041 1 -33.697418 2.441777 -1.652294
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1059.225098 true -4.237839 -28.648006 0.050001 1.907349 1 388.679443 -170.414566 -64.49321
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1061.341431 true -17.015091 9.512264 0.05 2.116333 1 367.859344 -11.588017 -72.241058
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1062.592651 false -342.764862 77.930946 -7.807131 1.251221 1 10.295767 6.767569 -38.942951
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1064.147461 false -337.780151 61.367546 -7.807131 1.55481 1 -138.55191 -7.744875 126.638794
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1066.088013 false -311.346558 164.543259 -7.807131 1.940552 1 -29.904779 180.806686 166.453568
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1068.382202 false -261.709351 33.074036 -7.807131 2.294189 1 -34.854668 -4.414404 24.587011
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1070.243164 false -288.62146 23.103891 -7.807131 1.860962 1 -64.086548 -15.826756 22.903175
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1072.036865 false -150.284058 -57.514641 -7.807131 1.793701 1 148.380798 -180.549164 -20.434986
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1073.52478 true -64.671829 -5.333793 0.05 1.487915 2 610.210449 -65.555481 -44.706238
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1075.639404 true -4.866165 6.665921 0.05 2.114624 2 327.295319 -57.653278 -49.902721
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1078.476074 true -26.475372 -25.834366 0.050001 2.83667 2 367.544617 -113.313766 -107.764961
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1079.952515 false -228.115677 -8.100051 -7.807131 1.47644 1 19.620768 -79.209839 39.271736
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1082.241699 false -89.421165 9.856721 -7.807131 2.289185 1 363.020752 41.455303 -144.50676
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1084.029541 false -267.881348 37.472984 -7.807131 1.787842 1 -32.046303 3.39939 -33.309349
