# Participant 18 (/Game/Spooky/Maps/UserStudy/FusedTracking)23 May 2018 11:29:20 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 901.058044 false -231.847061 17.654182 -7.807131 7.638 1 -11.553916 22.51964 16.366573
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 906.106506 false -267.894135 29.297588 -7.807131 5.048462 1 -13.816249 -37.851658 22.064726
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 909.63855 false -97.822266 -16.442768 -7.807131 3.532043 1 139.687393 -106.547905 -106.906105
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 912.615356 false -363.484924 -84.062973 -7.807131 2.976807 1 -55.620193 39.400021 -13.587391
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 916.410645 false -258.108551 70.641335 -7.807131 3.795288 1 -15.780773 1.154361 30.446648
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 920.078857 false -134.296204 -15.746399 -7.807131 3.668213 2 274.964905 -20.877159 -57.967442
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 923.059021 false -204.900238 -94.741112 -7.807131 2.980164 1 -107.995331 -52.598896 7.787174
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 927.015747 false -138.726364 5.07237 -7.807131 3.956726 1 327.916199 46.173737 -188.588501
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 940.949097 false -133.621002 -8.908453 -7.807131 13.93335 1 87.211899 -14.779382 -85.087654
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 944.216309 false -173.80246 -26.946093 -7.807131 3.267212 2 175.344467 -39.183346 -150.48558
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 947.750671 false -136.668732 -1.599868 -7.807131 3.534363 2 81.889137 39.020672 -82.316154
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 951.262695 false -254.784256 54.348885 -7.807131 3.512024 2 -60.897598 54.832474 8.609159
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 955.19519 true -96.89035 -16.395184 0.05 3.932495 1 264.266571 -59.529259 -142.35878
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 958.507019 false -142.068146 -24.680346 -7.807131 3.311829 1 208.400299 -432.2005 250.60675
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 961.595764 true -129.479813 -17.972952 0.049973 3.088745 1 223.884445 -73.359161 -77.323608
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
