 # Participant 19 (/Game/Spooky/Maps/UserStudy/FusedTracking)23 May 2018 1:38:33 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 63.527985 true false 2 Red 22.435581 2 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 72.353378 true false 2 Blue 8.825394 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 77.355476 false true 3 Blue 5.002098 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 82.690086 false true 3 Blue 5.33461 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 87.531807 true false 3 Blue 4.841721 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 98.418678 true false 2 Red 10.886871 2 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 104.413551 true false 3 Blue 5.994873 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 114.360092 true false 2 Red 9.946541 1 7
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 123.865479 true false 2 Red 9.505386 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 131.12616 false true 2 Blue 7.260681 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 131.12616 false true 2 Red 0.0 0 0
 # Participant 19 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)23 May 2018 1:40:08 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 141.910248 true false 2 Blue 5.647522 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 149.044922 true false 3 Green 7.134674 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 156.111542 true false 2 Blue 7.06662 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 163.444962 true false 2 Red 7.33342 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 169.93428 true false 3 Blue 6.489319 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 174.667068 true false 3 Blue 4.732788 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 180.046707 true false 2 Green 5.379639 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 184.712692 true false 3 Green 4.665985 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 191.117157 true false 2 Green 6.404465 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 195.832474 false false 3 Blue 4.715317 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 204.136536 true false 2 Red 8.304062 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 214.871292 true false 2 Green 10.734756 1 6
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 218.091232 false true 2 Blue 3.21994 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 226.293488 false true 3 Blue 8.202255 1 6
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 226.293488 false true 3 Green 0.0 0 0
 # Participant 19 (/Game/Spooky/Maps/UserStudy/LeapOnly)23 May 2018 1:41:43 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 236.605286 false true 2 Red 5.187576 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 242.318085 false true 3 Green 5.712799 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 258.851746 true false 3 Green 16.533661 2 6
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 268.541382 true false 2 Green 9.689636 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 282.005493 true false 2 Red 13.464111 2 7
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 286.006805 false true 2 Green 4.001312 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 295.009491 true false 3 Blue 9.002686 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 301.32074 false true 2 Green 6.311249 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 309.298615 false true 2 Red 7.977875 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 314.320953 true false 3 Red 5.022339 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 321.453949 false true 2 Blue 7.132996 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 321.453949 false true 2 Green 0.0 0 0
