# Participant 19 (/Game/Spooky/Maps/UserStudy/LeapOnly)23 May 2018 1:45:05 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 436.76181 true -95.834251 -23.222679 0.05 3.768188 1 192.003479 75.086517 30.451485
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 439.739502 false -169.757706 -15.815901 -7.807131 2.977692 1 104.70089 -163.606735 -42.205566
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 442.784058 false -28.18956 -54.265739 -7.807131 3.044556 1 658.618164 -256.762695 2.125519
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 445.424622 true 35.196182 27.951788 0.049999 2.640564 1 196.273788 21.362648 65.706329
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 447.897736 false -182.996689 -2.412689 -7.807131 2.473114 1 7.606822 42.437946 74.068619
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 450.584198 false -325.322998 -36.090992 -7.807131 2.686462 1 133.649857 80.520149 149.679886
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 454.542938 false 219.437164 149.256638 -7.807131 3.95874 1 580.341919 -80.044647 57.43811
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 456.652954 false -68.529449 -45.942379 -7.807131 2.110016 1 569.942566 -280.098969 -79.162125
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 462.120789 false -296.21759 66.451256 -7.807131 5.467834 3 115.947083 -11.494648 94.890015
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 464.742096 false -193.281952 -22.48613 -7.807131 2.621307 1 151.105423 -94.977654 81.232483
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 471.654327 false -403.676758 -417.994781 -7.807131 6.912231 4 153.447739 -99.10112 180.082962
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 474.321045 false -493.36908 -353.921204 -7.807131 2.666718 1 205.555374 -92.350479 68.270325
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 476.429474 true -43.201675 1.230258 0.05 2.108429 2 130.567932 -28.284756 75.059898
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 478.875824 false -108.542511 67.94207 -7.807131 2.44635 1 810.484741 352.640625 7.822248
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 481.031097 false -206.006287 17.734617 -7.807131 2.155273 1 6.677173 73.459267 311.626556
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 482.138916 false -398.651306 4.280573 -7.807131 1.107819 1 -236.780807 -264.465881 -51.624592
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 484.184265 false -372.667969 88.917282 -7.807127 2.045349 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 486.295044 false -176.826904 -68.315659 -7.807131 2.110779 1 -17.411777 8.247204 275.907867
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 490.499542 false -144.59906 27.413431 -7.807131 4.204498 2 362.11441 46.387596 177.234329
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 493.099823 false -177.966095 -11.305918 -7.807131 2.600281 1 53.778366 -156.117172 -13.877401
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 496.476532 false -182.0336 4.50248 -7.807131 3.376709 1 6.602376 -59.512867 -34.565628
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 499.008728 false -175.558289 15.042653 -7.807131 2.532196 2 283.454681 284.754181 -379.608093
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 501.342346 false -183.683167 -13.899567 -7.807131 2.333618 1 133.297729 17.299847 -29.075546
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 504.027313 false -155.261841 24.972202 -7.807131 2.684967 1 6.593202 37.789574 82.110481
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 506.67511 false -252.666504 -58.28828 -7.807131 2.647797 1 -24.706522 -73.318596 135.211487
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 508.963593 true -111.074051 25.666121 0.05 2.288483 1 235.85968 -11.612104 123.996223
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 511.317932 false -220.152969 -10.297812 -7.807131 2.35434 1 114.076668 -307.210236 188.590012
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 518.20929 false -223.129913 89.745346 -7.807131 6.891357 1 6.118877 47.960899 68.065788
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 522.588257 false -198.159943 -15.924838 -7.807131 4.378967 2 -93.810829 -98.302856 11.926175
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 523.031799 false 99799.0 99999.0 99991.195313 0.443542 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 523.031799 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 19 (/Game/Spooky/Maps/UserStudy/FusedTracking)23 May 2018 1:46:40 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 531.393494 false -152.546875 -49.686848 -7.807131 3.231201 1 176.188599 -310.366913 93.504677
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 534.24823 true -11.882675 -71.554146 0.05 2.854736 1 175.02298 -30.252333 107.562065
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 537.389771 true -84.223557 -3.765163 -0.05 3.141541 1 72.064247 -16.824078 195.056686
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 540.839294 false -155.768234 -26.277958 -7.807131 3.449524 1 153.702194 -6.395465 255.748505
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 543.69812 false -194.349045 67.337563 -7.807131 2.858826 1 57.240395 -36.069504 365.465851
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 545.970093 false -115.859947 -198.513992 -7.807131 2.271973 1 360.055725 -383.417542 406.905731
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 549.117615 false -179.294617 -13.070171 -7.807131 3.147522 1 15.052895 -45.018456 48.240704
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 553.423096 false -194.469727 15.035779 -7.807131 4.305481 2 -3.758497 8.383759 -30.123821
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 556.201477 false -175.810776 -23.668386 -7.80713 2.778381 1 219.903122 340.387878 206.46199
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 559.242065 false -152.238419 -4.379258 -7.807131 3.040588 3 147.085312 -48.843559 -131.793686
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 563.901917 false -166.369843 11.544087 -7.807131 4.659851 1 123.757767 -31.745098 360.895203
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 567.139404 false -146.090134 -15.926191 -7.807131 3.237488 1 76.156479 -83.099518 372.148102
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 569.435791 false -181.229141 8.772106 -7.807131 2.296387 1 85.472321 -60.174191 176.9599
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 573.189575 true -91.547119 -89.082489 -0.05 3.753784 1 227.751999 -142.017776 336.059174
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 576.043518 true -85.997475 -2.558244 0.05 2.853943 1 151.084366 -46.465031 260.246002
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 579.985962 false -152.249496 -17.855335 -7.807131 3.942444 1 75.269508 -76.553627 344.421509
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 582.727356 true -74.171791 -24.343353 0.05 2.741394 1 271.264587 -16.183571 71.641693
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 586.513489 false 6.697021 299.991211 -7.807131 3.786133 1 287.816742 182.050735 464.944885
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 589.0672 false -73.218407 10.787725 -7.807131 2.553711 1 184.877747 39.468307 254.45639
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 591.932556 false -98.498947 23.470692 -7.807131 2.865356 1 316.013794 117.332497 414.713715
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 594.570801 true -97.184105 0.000034 0.05 2.638245 1 349.196045 -8.356323 374.324493
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 599.023926 true -54.835129 41.352119 0.05 4.453125 1 179.639481 59.65007 321.046417
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 602.399963 false -86.867859 36.743965 -7.807131 3.376038 1 218.125793 65.376297 319.387207
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 605.243469 false 126.753906 -51.267838 -7.807131 2.843506 1 544.506409 52.749638 217.731003
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 608.360168 false 49.407364 11.799335 -7.807131 3.116699 1 288.377106 33.624157 326.449066
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 611.201355 true -82.149162 59.003178 0.05 2.841187 1 313.193237 117.805054 437.149536
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 613.424255 false -20.05983 -25.211702 -7.807131 2.2229 1 384.818604 -12.860524 139.512939
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 616.236694 true 115.245789 -59.910496 0.05 2.812439 1 340.615356 -41.973797 239.591888
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 618.208374 false 99799.0 99999.0 99991.195313 1.97168 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 618.208374 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 19 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)23 May 2018 1:48:15 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 629.682617 false 44.934921 63.631832 -7.807131 6.372192 1 155.367691 20.296247 111.064888
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 633.661987 false -159.414047 0.227587 -7.807131 3.97937 1 86.642944 52.374329 317.400238
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 638.061584 true 0.000061 -14.512357 0.05 4.399597 1 210.958328 -1.642697 94.492302
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 641.552124 true 36.09169 62.049652 0.000536 3.49054 1 231.990524 -19.049988 140.538483
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 644.57489 false -136.193405 2.205765 -7.807131 3.022766 1 176.328888 1.647181 113.790031
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 647.798035 true 30.386536 -28.319056 0.05 3.223145 1 210.160629 -66.643135 177.590912
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 650.79895 false -187.890121 -13.169735 -7.807131 3.000916 2 143.937027 -28.778883 104.080055
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 654.085327 false -48.230026 26.30661 -7.807131 3.286377 1 80.135963 25.221214 22.267481
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 657.051758 false -227.218262 1.25952 -7.807131 2.966431 1 -4.886872 -38.875988 -33.292187
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 660.703979 true -43.530823 5.760513 0.05 3.652222 3 44.934082 21.594597 26.139364
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 664.903503 false -152.900528 -1.440104 -7.807131 4.199524 1 59.181034 -52.872501 29.811747
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 670.804504 false -79.410301 -58.621284 -7.807131 5.901001 2 231.142838 -178.532471 161.175812
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 673.819397 false -173.845291 -9.845276 -7.807131 3.014893 1 41.249146 21.336538 161.903656
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 676.819092 false 31.784836 -36.786606 -7.807131 2.999695 1 142.723953 5.123436 128.925247
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 678.972534 false -217.617172 -3.968 -7.807131 2.153442 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 682.148499 false -134.976135 -5.123315 -7.807131 3.175964 2 60.882378 6.171291 32.850834
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 684.954285 false -214.876068 12.260101 -7.807131 2.805786 1 13.802273 -90.810684 3.581071
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 687.306152 false -197.456833 -49.49897 -7.807131 2.351868 1 28.368505 -155.947922 -7.278655
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 689.884766 false -196.411407 -15.095406 -7.807131 2.578613 1 28.515102 -30.559834 1.037093
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 693.7323 true -53.770554 43.003395 0.049999 3.847534 1 211.421432 -73.341431 190.05928
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 696.797668 false -103.28006 -57.941608 -7.807131 3.065369 1 96.766853 -43.525345 208.871765
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 698.796936 false -211.400253 15.99275 -7.807131 1.999268 1 3.175539 -71.510155 -11.728388
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 701.173889 false -218.689896 -12.404903 -7.807131 2.376953 1 8.304874 -40.81226 4.432272
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 703.708679 false -129.490524 9.605128 -7.807131 2.53479 1 125.462334 -46.084442 56.355869
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 705.329834 false -195.189163 -28.136396 -7.807131 1.621155 1 28.906128 -81.084656 21.800705
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 708.21875 false -192.618637 4.965414 -7.807131 2.888916 1 45.184967 0.524997 135.808243
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 713.346558 false 99799.0 99999.0 99991.195313 5.127808 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 713.346558 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
