
# Participant 2 (/Game/Spooky/Maps/UserStudy/FusedTracking)16 Apr 2018 3:35:41 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 730.252441 false -194.385269 14.503695 -7.807131 9.748596 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 736.520325 false -120.373566 -63.130714 -7.807131 6.267883 1 93.648842 -115.475433 16.570332
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 742.186218 false -225.583923 13.547927 -7.807131 5.665894 1 6.426298 -7.049445 39.597229
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 747.031006 false -235.49028 13.160319 -7.807131 4.844788 1 -13.39874 -16.981173 -12.457621
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 753.231506 false -260.329071 66.46817 -7.807131 6.2005 2 8.617764 1.368459 29.314436
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 760.967041 false -152.998459 -96.410522 -7.807131 7.735535 1 199.424927 -16.108429 86.214104
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 766.567383 false -168.097229 -11.081585 -7.807131 5.600342 1 62.882568 -30.774597 10.22657
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 772.990112 true -106.119583 12.988278 0.05 6.422729 1 759.582581 -1150.282593 3768.31958
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 779.700684 false -147.228592 27.368109 -7.807129 6.710571 1 -277.917725 246.949219 659.223572
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 790.102722 false 491.621826 -152.91478 -7.807131 10.402039 1 175.228043 -247.906937 -229.820313
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 799.791138 false -158.632462 -36.260075 -7.807131 9.688416 1 -458.390747 167.094009 948.250488
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 805.168518 false -213.708679 0.027328 -7.807131 5.37738 2 -62.052181 80.266846 -78.961166
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 809.457764 false -282.961365 51.297165 -7.807131 4.289246 1 -80.427826 -3.354634 -23.060005
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 810.544983 false 99799.0 99999.0 99991.195313 1.087219 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 810.544983 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 2 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)16 Apr 2018 3:37:16 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 823.416565 true -113.304604 2.489629 0.05 7.776428 1 261.508057 31.421057 -77.533463
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 827.772034 false -140.217224 15.673244 -7.807131 4.355469 1 167.248306 28.015249 -182.668427
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 832.638489 false -148.525345 16.035723 -7.807131 4.866455 1 89.2892 0.477427 -23.139633
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 838.639465 false -181.719055 -55.983765 -7.807131 6.000977 1 40.589176 -129.919403 -140.354706
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 845.661438 false -151.04071 -71.998444 -7.807131 7.021973 1 63.713985 -88.668053 43.445362
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 853.019348 false -179.001282 -7.526016 -7.807131 7.35791 1 414.287109 16.458891 -494.651215
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 863.108276 false -183.945343 -31.132038 -7.807131 10.088928 1 209.548462 -70.026009 -240.56134
