# Participant 20 (/Game/Spooky/Maps/UserStudy/FusedTracking)28 May 2018 11:43:14 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 978.166992 true -113.062561 29.241076 0.05 7.097168 2 177.135956 112.295212 -49.040142
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 984.403198 false -332.580261 25.960299 -7.807131 6.236206 1 -370.196045 -128.03154 140.078674
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 991.746704 false -125.71434 35.449959 -7.807131 7.343506 2 458.144196 -2.527451 -123.050133
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 997.10144 false -188.475418 16.0583 -7.807131 5.354736 1 343.862518 42.295586 -441.758209
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1003.728149 false -149.752319 -16.292051 -7.807131 6.626709 2 361.48288 -2.030945 -191.718857
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1012.260803 false -259.670258 66.299622 -7.807131 8.532654 2 42.0895 111.537399 -483.196625
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1018.437195 false -283.286194 78.830315 -7.807131 6.176392 1 -19.58399 5.097556 -10.286127
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1026.615967 false -222.215485 5.809677 -7.807131 8.178772 2 0.203676 -99.848579 -388.055389
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1031.724243 false -258.963928 42.583027 -7.807131 5.108276 1 -20.484447 -7.645209 33.737679
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1042.349731 false -258.212433 35.290981 -7.807131 10.625488 1 10.808334 -31.674679 -29.80492
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1052.149902 false -188.994186 -3.143716 -7.807131 9.800171 1 247.213348 -10.172041 -321.960052
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1057.682739 false -179.675064 7.303082 -7.807131 5.532837 2 394.603271 -50.077404 -329.904999
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1061.100464 false 99799.0 99999.0 99991.195313 3.417725 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1061.100464 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 20 (/Game/Spooky/Maps/UserStudy/LeapOnly)28 May 2018 11:44:49 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1071.05542 false -218.176682 6.766636 -7.807131 4.905396 2 36.110806 -58.831631 65.194672
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1078.906006 false -328.368317 105.948151 -7.807131 7.850586 2 -6.025348 9.282563 -8.830197
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1086.549561 false -243.563263 13.521314 -7.807131 7.643555 1 -1.926525 -16.073565 43.106907
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1091.658813 false -248.566711 19.903345 -7.807131 5.109253 1 -28.409184 -54.405598 7.234855
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1098.432739 false -324.128998 101.43927 -7.807131 6.773926 2 -7.185474 2.772357 17.482841
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1104.16687 false -317.519806 103.936157 -7.807131 5.734131 1 13.887786 97.175491 -28.857662
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1121.288452 false -327.134705 104.390411 -7.807131 17.121582 1 -4.228264 5.043301 7.335763
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1126.150146 false -232.453308 19.4097 -7.807131 4.861694 1 2.910233 -12.177115 -15.937248
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1139.757568 true -118.337067 6.576059 0.05 13.607422 1 9.31071 -114.524483 53.133362
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1150.379517 true -112.373344 34.216602 0.05 10.621948 1 889.241821 227.880676 -173.366959
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1154.96814 true -125.814972 -13.181655 0.05 4.588623 3 244.800919 -214.069702 -59.731812
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1156.170898 false 99799.0 99999.0 99991.195313 1.202759 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1156.170898 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 20 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)28 May 2018 11:46:24 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1171.781006 false -206.31044 -7.405555 -7.807131 10.53833 3 -16.362411 -51.239975 -152.21022
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1187.133545 false -171.427429 55.101929 -7.807131 15.352539 1 149.277618 -27.498154 344.419739
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1195.160767 false -129.438416 -83.244156 -7.807131 8.027222 1 544.931213 -32.596107 -98.886116
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1200.093384 false -171.144348 -11.422935 -7.807131 4.932617 1 208.961777 -7.100538 -234.84729
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1207.715454 false -150.521103 -22.775703 -7.807131 7.62207 1 297.120087 5.344005 -91.758469
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
