# Participant 21 (/Game/Spooky/Maps/UserStudy/LeapOnly)28 May 2018 12:22:05 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 422.507996 false true 2 Blue 16.881073 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 480.876434 true false 3 Blue 58.368439 2 20
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 495.654755 false true 3 Blue 14.77832 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 495.654755 false true 2 Green 0.0 0 0
 # Participant 21 (/Game/Spooky/Maps/UserStudy/FusedTracking)28 May 2018 12:23:40 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 544.886353 false true 2 Red 44.157593 2 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 572.864136 true false 3 Green 27.977783 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 584.463623 true false 2 Red 11.599487 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 590.755127 false true 3 Green 6.291504 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 590.755127 false true 3 Blue 0.0 0 0
 # Participant 21 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)28 May 2018 12:25:15 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 608.687134 true false 2 Red 12.819763 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 621.003418 true false 2 Green 12.316284 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 633.515625 true false 2 Blue 12.512207 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 645.604919 true false 3 Blue 12.089294 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 656.516357 true false 2 Red 10.911438 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 665.393799 true false 3 Blue 8.877441 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 675.485779 true false 2 Green 10.09198 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 685.904785 false true 3 Red 10.419006 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 685.904785 false true 3 Green 0.0 0 0
