# Participant 21 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)28 May 2018 12:28:46 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 814.402405 false -189.101715 22.851162 -7.807131 7.27124 1 62.435638 12.13031 -112.635796
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 819.671387 false -187.464844 -0.205371 -7.807131 5.268982 1 57.384083 39.862614 -140.624924
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 827.116211 false -202.394638 -0.437058 -7.807131 7.444824 3 5.208022 24.449759 -47.292152
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 837.024963 false -183.975708 60.646687 -7.807131 9.908752 2 3.999535 3.167607 12.642981
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 842.834839 false -188.780945 21.716183 -7.807131 5.809875 2 99.93129 36.870823 -71.720367
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 852.138123 false -162.15184 -6.629525 -7.807131 9.303284 1 75.889023 19.665083 -54.467514
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 868.786743 false -175.597855 29.799013 -7.807131 16.648621 1 39.452553 22.562834 -45.571938
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 876.298157 false -194.349121 39.154118 -7.807131 7.511414 1 -13.434346 18.625809 9.122929
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 883.008606 false -190.818939 -1.658017 -7.807131 6.710449 1 15.279557 -1.620592 158.534958
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 892.673828 false -183.949203 53.729309 -7.807131 9.665222 2 9.307401 -3.226269 36.038963
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 896.364807 false -174.398056 2.09157 -7.807131 3.690979 2 31.14003 9.46965 8.791851
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 897.164551 false 99799.0 99999.0 99991.195313 0.799744 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 897.164551 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 21 (/Game/Spooky/Maps/UserStudy/LeapOnly)28 May 2018 12:30:21 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 910.210266 false -238.887787 87.230743 -7.807131 7.940002 1 -6.993906 -8.840136 16.846224
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 914.582947 false -260.775452 26.166946 -7.807131 4.372681 1 -36.772881 -32.458141 44.655083
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 920.744751 false -231.122345 12.950239 -7.807131 6.161804 1 32.728275 -28.305397 9.114293
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 927.078857 false -248.804962 166.57962 -7.807131 6.334106 1 3.082407 1.28951 -12.078533
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 932.78717 true -129.318909 19.606743 0.05 5.708313 1 147.920837 64.840103 69.807602
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 936.496521 false -229.272064 12.864009 -7.807131 3.709351 1 8.34269 -22.181559 17.056417
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 940.543274 true -117.10479 -15.278193 0.05 4.046753 1 241.396362 -63.878956 28.856283
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 948.410522 true -36.024094 -19.55954 0.05 7.867249 1 241.195526 -72.508217 1.588108
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 956.145325 false -231.023117 15.479989 -7.807131 7.734802 2 2.752915 -20.26717 18.206596
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 964.007629 false -238.503342 16.438507 -7.807131 7.862305 2 -10.600828 -16.703787 16.316177
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 970.923279 false 13.745743 -8.5019 -7.807131 6.915649 2 501.824585 1.601416 78.387848
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 974.812805 false -235.165497 12.031744 -7.807131 3.889526 1 -15.770716 -26.693399 26.762634
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 978.589417 false -217.36676 4.838161 -7.807131 3.776611 1 9.709396 -9.613999 11.312324
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 984.523499 false -236.55159 5.461123 -7.807131 5.934082 3 -16.377699 -30.020704 -13.070482
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 989.278381 false -231.256332 13.652013 -7.807131 4.754883 1 -1.943331 -24.132813 28.412619
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 992.299561 false 99799.0 99999.0 99991.195313 3.021179 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 992.299561 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 21 (/Game/Spooky/Maps/UserStudy/FusedTracking)28 May 2018 12:31:56 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1008.768799 false -145.885498 21.257158 -7.807131 11.391174 3 85.229828 8.760327 -14.242574
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1019.460144 false -147.044556 -14.13208 -7.807131 10.691345 3 114.688873 -17.925194 -2.628883
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1024.348633 true -122.71637 9.726 0.05 4.888489 1 97.523285 -7.797045 -17.117598
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1028.949707 true -123.407478 32.547859 0.05 4.601074 1 108.720535 -36.570194 93.814896
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1034.394409 false -202.384689 8.448196 -7.807131 5.444702 1 20.099218 -20.379463 6.935527
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1037.970337 false -176.574554 9.807611 -7.807131 3.575928 1 58.52906 -60.84124 23.661467
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1045.506836 false -184.216583 30.126677 -7.807131 7.536499 1 8.55214 -3.288607 -1.557735
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1050.419067 true -113.149658 -19.453178 -0.05 4.912231 2 153.447083 -30.053289 85.452873
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1055.173096 false -191.618942 15.267467 -7.807131 4.754028 1 23.095306 -30.203388 8.38004
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1058.972412 true -130.271744 -9.9323 -0.05 3.799316 1 126.494339 -34.416397 82.097404
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1061.795776 false -141.568787 -6.075436 -7.807131 2.823364 1 123.258636 -61.628765 137.874023
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1064.88562 false -172.873383 -6.439926 -7.807131 3.089844 1 59.109718 -39.732449 36.270168
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1073.198486 false -176.821854 24.441933 -7.807131 8.312866 1 23.674032 -17.148647 1.868348
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1078.952515 false -184.047379 26.914333 -7.807131 5.754028 1 20.18961 -20.802204 12.311807
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1084.420044 false -149.014008 -2.471406 -7.807131 5.467529 1 60.455044 -4.145539 63.902668
