# Participant 22 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)28 May 2018 1:29:00 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1073.184204 false -135.872604 11.313098 -7.807131 4.348145 1 259.108826 -38.7691 -57.238274
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1076.812134 false -167.479858 7.511286 -7.807131 3.62793 1 78.683212 -47.480057 -142.486282
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1080.278687 false -170.502258 16.219828 -7.807131 3.466553 1 36.55257 -41.201412 -22.615252
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1086.471802 false -161.766296 22.261772 -7.807131 6.193115 2 40.237507 26.703211 -75.673553
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1090.142822 true -128.359406 8.997637 -0.05 3.671021 1 140.780258 -23.709484 -58.078049
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1095.006104 false -215.693665 -9.479525 -7.807131 4.863281 2 -122.329002 -91.079285 65.787842
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1104.016479 false -177.079544 -3.890313 -7.807131 9.010376 3 12.89841 -9.727696 -39.067074
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1108.543335 false -149.636932 5.458381 -7.807131 4.526855 1 110.745972 2.763381 -130.40303
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1115.472656 false -183.29184 6.410736 -7.807131 6.929321 1 -0.042295 -16.557697 13.913354
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1120.286499 true -58.934341 28.782059 0.05 4.813843 1 249.290176 120.646698 155.13176
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1124.769531 false -171.468704 -2.761074 -7.807131 4.483032 1 27.455826 -97.955086 184.15419
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1132.943481 false -223.454788 -16.138247 -7.807131 8.17395 2 -14.380394 -39.803524 7.846924
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1139.215576 false -146.362762 31.541445 -7.807131 6.272095 1 114.844078 132.206741 198.241165
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1144.618164 false -173.342606 -16.291662 -7.807131 5.402588 1 33.874813 27.546183 247.981735
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1148.567993 false -155.229218 -14.286611 -7.807131 3.949829 1 241.220642 12.176106 -210.98111
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1153.291748 false -162.476273 -0.672819 -7.807131 4.723755 1 205.576462 0.685295 -207.119614
