# Participant 23 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)6 Jun 2018 12:25:47 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 840.218506 false -176.885895 15.040833 -7.807131 5.378906 1 48.443558 18.337711 166.108337
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 843.690796 false -165.415131 41.573238 -7.807131 3.47229 1 297.825897 73.56369 -337.106079
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 847.913025 false -82.399712 -54.907509 -7.807131 4.222229 1 702.638489 -417.866089 101.099701
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 851.442139 false -125.648636 45.659588 -7.807131 3.529114 1 231.160324 87.218529 -170.997513
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 856.247253 false -141.11911 3.824577 -7.807131 4.805115 1 162.313568 1.606559 317.082336
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 862.224915 false -185.549515 22.245867 -7.807131 5.977661 1 13.224052 -29.43759 -3.231644
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 871.666077 false -182.24498 -26.823305 -7.807131 9.441162 1 7.325239 -31.663597 123.366104
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 879.077881 false -152.252762 -34.011093 -7.807131 7.411804 2 123.387978 -105.374413 -165.009781
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 882.997559 false -151.281891 54.415474 -7.807131 3.919678 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 890.420471 false -259.477814 51.202362 -7.807131 7.422913 1 6.010327 -3.2479 74.026222
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 894.385315 false -174.06369 -47.408424 -7.807131 3.964844 1 79.691742 -121.811417 -97.23291
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 898.036621 true -114.611214 0.000009 0.05 3.651306 1 299.594391 -69.72084 -107.792496
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 901.093872 true -44.515503 -49.834209 0.05 3.057251 1 127.890022 -32.189259 -49.975288
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 904.639587 false -77.014427 5.444357 -7.807131 3.545715 1 256.259094 -11.954897 298.662384
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 907.556824 true -123.360947 41.239433 0.05 2.917236 2 277.588043 -20.742861 270.487274
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 914.908813 false -146.841354 3.383319 -7.807131 7.35199 5 100.185692 -167.424866 327.664886
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 918.185059 false -33.595673 74.348434 -7.807131 3.276245 1 194.737625 -30.200583 220.126846
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 924.862305 false 99799.0 99999.0 99991.195313 6.677246 1 16.49819 -39.384499 -23.667564
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 924.862305 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 23 (/Game/Spooky/Maps/UserStudy/LeapOnly)6 Jun 2018 12:27:22 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 934.132324 false -345.540314 110.919617 -7.807129 4.162598 1 -41.050041 -102.366791 -105.894897
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 939.286926 false -201.690445 126.001488 -7.807131 5.154602 1 83.582382 212.550552 -90.597679
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 943.265015 false -182.247467 -2.189044 -7.807131 3.978088 2 12.751727 6.840984 -29.095901
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 947.355225 false -515.667053 -74.877777 -7.807131 4.09021 1 -26.587055 -12.299043 -7.451224
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 951.180298 false -178.381287 9.317871 -7.807131 3.825073 1 22.02949 -19.583296 82.474342
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 958.128784 false -237.15596 5.139451 -7.807131 6.948486 3 -50.016827 11.155354 -6.492173
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 961.84552 false 15.093918 9.570135 -7.807131 3.716736 1 495.835754 45.282822 -108.002716
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 964.649231 true -16.082901 -9.282317 0.05 2.803711 3 433.490662 67.69677 -33.489098
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 967.560242 true 33.907791 -5.694207 0.000007 2.911011 1 419.832031 -183.231903 95.575989
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 970.231628 true 1.875183 -2.274779 -0.05 2.671387 1 383.759399 -209.680405 137.372803
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 972.266541 false -277.955231 -137.141602 -7.807131 2.034912 1 -25.112587 13.733406 -52.506523
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 975.516113 false -2.689255 30.258377 -7.807131 3.249573 1 216.449783 57.697762 -27.784946
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 978.086121 true -80.586029 53.653881 -0.05 2.570007 2 406.44751 410.932251 -175.418594
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 980.266052 false -318.910156 87.720268 -7.807131 2.179932 1 98.93261 46.3974 -7.988213
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 984.46875 true -34.027054 24.99135 0.05 4.202698 1 198.613281 4.194593 -8.763414
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 987.356934 false -138.879501 -41.764183 -7.807131 2.888184 1 222.801346 -47.563385 -90.753807
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 993.619263 false -265.519104 496.240173 -7.807131 6.262329 1 156.757935 -6.857293 128.988113
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 996.646362 false -166.594467 -27.586096 -7.807131 3.0271 1 -7.382748 -49.879261 146.215546
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 998.911926 false -235.328156 23.571243 -7.807131 2.265564 1 -13.215671 78.688705 4.322327
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1000.981628 false -190.751373 -14.457043 -7.807131 2.069702 2 25.043171 -53.850342 -55.331367
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1003.089783 false -300.192017 -120.452568 -7.807131 2.108154 1 -239.905655 -382.557922 3.401587
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1007.023804 false -272.858368 -45.639126 -7.807131 3.934021 1 -89.208382 -148.542419 45.657192
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1010.385742 true -15.2341 9.318508 0.05 3.361938 1 155.785904 18.949783 -100.503059
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1013.002869 true -91.681564 -12.704809 0.05 2.617126 1 234.110214 37.691685 -121.184059
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1015.42688 true -35.823593 9.086236 0.05 2.424011 1 481.47052 66.561096 -127.333435
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1018.002991 true -87.654572 5.757375 0.050001 2.576111 1 318.657715 39.554024 -87.249458
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1020.002502 false 99799.0 99999.0 99991.195313 1.999512 1 526.697388 138.632935 -59.736168
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1020.002502 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 23 (/Game/Spooky/Maps/UserStudy/FusedTracking)6 Jun 2018 12:28:58 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1029.032593 false -159.23793 -13.778994 -7.807131 3.893555 1 73.209816 -88.42189 -12.352005
