# Participant 3 (/Game/Spooky/Maps/UserStudy/LeapOnly)17 Apr 2018 2:25:29 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 754.770508 false -252.578705 40.151184 -7.807131 10.550415 1 -16.44474 8.014548 -15.156142
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 766.150208 false -291.21228 -47.233784 -7.807131 11.3797 2 -27.589411 -43.334301 -15.148732
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 771.771545 true -124.765099 -10.321619 0.05 5.621338 1 92.739067 -33.817818 14.890068
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 778.840271 false -287.567169 -13.857862 -7.807131 7.068726 4 -11.326162 -0.396853 2.262614
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 782.060486 false -201.371704 7.598443 -7.807131 3.220215 1 29.437296 -41.800022 91.519318
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 788.570862 false -189.445831 11.224891 -7.807131 6.510376 5 -1.644024 6.374142 4.013669
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 792.972168 false -260.128265 38.228016 -7.807131 4.401306 2 18.562826 -0.577502 -16.362377
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 798.594604 false -947.56604 -295.328339 -7.807131 5.622437 3 5.267151 -75.050476 25.28812
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 802.570496 false -195.477524 2.489035 -7.807131 3.975891 3 48.909313 -18.910315 19.045223
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 807.016113 false -157.073364 42.030338 -7.807131 4.445618 1 226.815811 121.973763 -81.980286
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 815.417664 false -47.765259 638.002441 -7.807131 8.40155 7 -33.07885 -33.020817 2.882798
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 818.350037 false -361.578003 100.763351 -7.807135 2.932373 2 7.160434 1.641462 -1.066688
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 822.884399 true -125.997963 6.407429 0.05 4.534363 2 163.221634 -28.698523 34.741215
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 827.173889 true -37.198883 21.321789 0.05 4.28949 1 327.804993 -33.053391 -69.120461
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 832.75177 false -173.354492 -1.045466 -7.807131 5.577881 5 65.623978 -10.040833 19.219
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 834.26178 false 99799.0 99999.0 99991.195313 1.51001 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 834.26178 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
