# Participant 4 (/Game/Spooky/Maps/UserStudy/LeapOnly)18 Apr 2018 2:24:12 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 666.806152 false -129.233505 45.912193 -7.807131 9.585571 1 205.656265 82.845169 -49.993378
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 670.563293 false -372.644745 70.892357 -7.807131 3.757141 1 -17.699181 27.966261 17.01264
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 676.920593 false -377.841248 -84.457169 -7.807131 6.3573 1 -84.620697 12.419463 -3.439652
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 683.919067 false -200.107666 10.194536 -7.807131 6.998474 5 -2.781497 6.682007 10.265976
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 690.442627 true -65.928833 34.253456 0.05 6.52356 1 207.477814 -65.858696 -93.600014
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 695.141296 false -322.910522 89.047615 -7.807127 4.698669 1 -556.181702 521.447205 278.955933
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 702.740479 false -166.456543 -14.161261 -7.807131 7.599182 3 137.605667 -45.753086 -25.075132
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 709.098755 false -181.696609 6.761631 -7.807131 6.358276 1 8.343081 49.452404 -61.862423
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 713.764526 false -120.401825 18.442148 -7.807131 4.665771 1 467.711365 23.155054 -122.406166
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 721.522522 false -900.023254 108.456139 -7.807131 7.757996 3 -24.432549 -27.18379 17.486597
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 725.231079 false -182.02182 36.956467 -7.807131 3.708557 1 24.864141 101.818077 -113.802567
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 729.164612 false -388.325043 100.071762 -7.807131 3.933533 1 -178.705368 -76.991676 95.689903
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 733.655701 false -346.490417 102.442177 -7.807127 4.491089 1 3.621146 -5.447361 0.645952
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 738.586182 false -447.865723 -157.366394 -7.807131 4.930481 1 86.567635 44.65839 -224.285934
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 743.163269 false -180.858231 -9.396738 -7.807131 4.577087 1 7.579185 21.164776 -6.500256
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 747.253357 false 99799.0 99999.0 99991.195313 4.090088 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 747.253357 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 4 (/Game/Spooky/Maps/UserStudy/FusedTracking)18 Apr 2018 2:25:47 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 760.762573 false -151.599579 -31.077066 -7.807131 8.359436 1 352.058594 -89.961609 -310.431366
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 764.913574 false -170.201218 -6.721289 -7.807131 4.151001 1 121.422615 -9.20694 -33.815388
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 775.002502 false -163.297379 -13.185542 -7.807131 10.088928 1 329.527222 -38.235725 -257.359009
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 780.77063 false -179.091507 24.813858 -7.807131 5.768127 1 -13.381186 -5.10782 82.824997
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 786.461304 false -180.619904 48.383312 -7.807131 5.690674 1 -21.853085 102.102432 67.317268
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 791.676819 false -151.781708 12.549867 -7.807131 5.215515 1 372.221405 385.362061 885.540649
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 797.859314 false -185.364197 9.089162 -7.807131 6.182495 1 143.845474 -20.609901 -346.577118
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 802.716492 false -177.881561 -4.259775 -7.807131 4.857178 1 127.533058 36.002151 -266.613922
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 808.438049 false -153.726547 36.534557 -7.807131 5.721558 1 181.051987 -16.00481 -129.002228
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 815.633362 false -150.453796 1.863734 -7.807131 7.195313 1 288.212402 13.59714 -229.753891
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 823.017029 false -188.618866 51.299294 -7.80713 7.383667 1 139.544785 115.204193 -369.167389
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 835.126343 false -189.014084 -22.199348 -7.807131 12.109314 1 25.486742 -46.604195 -136.688705
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 842.445862 false 99799.0 99999.0 99991.195313 7.319519 1 18.391857 104.779198 -355.571198
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 842.445862 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 4 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)18 Apr 2018 2:27:22 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 858.034119 false -205.845764 -21.490816 -7.807131 10.478027 1 3.238651 -115.068405 -258.779297
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 868.834656 false -197.099976 3.29758 -7.807131 10.800537 1 -0.785158 7.188522 3.089985
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 877.330627 false -193.6754 -91.162552 -7.807131 8.495972 1 27.966875 -119.264717 -173.875809
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 882.285706 false -197.70549 -12.970977 -7.807131 4.955078 1 78.774773 -21.138132 -467.457794
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 887.608093 false -176.63884 -34.36132 -7.807131 5.322388 1 60.541637 -46.508705 -177.051285
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 895.960388 false -189.537109 34.909676 -7.807131 8.352295 1 -0.79477 -33.039913 -45.441525
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 902.005005 false -188.036713 -36.832016 -7.807131 6.044617 1 13.117042 -131.41452 -134.215836
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 907.664124 false -183.653793 -32.832336 -7.807131 5.659119 1 37.534103 -102.219147 -138.862228
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 912.153809 false -165.582581 -53.746304 -7.807131 4.489685 1 138.00148 -281.359344 -131.951416
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 916.492981 false -143.688171 -83.415558 -7.807131 4.339172 1 194.121536 -306.934509 59.036945
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
