 # Participant 5 (/Game/Spooky/Maps/UserStudy/FusedTracking)19 Apr 2018 2:21:35 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 484.395569 true false 2 Green 61.97052 1 14
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 490.90741 true false 3 Red 6.511841 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 497.685577 true false 2 Red 6.778168 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 505.154724 true false 2 Blue 7.469147 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 512.464722 false true 3 Green 7.309998 0 0
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 512.464722 false true 3 Red 0.0 0 0
 # Participant 5 (/Game/Spooky/Maps/UserStudy/LeapOnly)19 Apr 2018 2:23:11 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 524.754333 false true 3 Green 7.2146 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 530.89032 false true 2 Green 6.135986 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 545.936707 true false 3 Green 15.046387 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 555.379761 true false 2 Red 9.443054 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 562.04657 false true 2 Red 6.666809 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 583.692566 true false 3 Blue 21.645996 1 6
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 590.335999 true false 3 Red 6.643433 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 601.338501 false false 3 Green 11.002502 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 607.583435 false true 3 Green 6.244934 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 607.583435 false true 3 Blue 0.0 0 0
 # Participant 5 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)19 Apr 2018 2:24:46 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 623.784424 true false 3 Blue 11.111816 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 628.895508 true false 3 Blue 5.111084 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 652.296387 true false 2 Red 23.400879 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 661.029846 true false 2 Red 8.733459 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 671.741516 true false 3 Blue 10.71167 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 677.807922 true false 3 Green 6.066406 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 685.60968 true false 2 Red 7.801758 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 692.076965 true false 2 Red 6.467285 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 699.921997 true false 3 Green 7.845032 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 702.697815 false true 2 Red 2.775818 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 702.697815 false true 3 Red 0.0 0 0
