 # Participant 6 (/Game/Spooky/Maps/UserStudy/LeapOnly)20 Apr 2018 2:20:41 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 429.713257 true false 3 Red 15.229309 2 8
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 448.228271 true false 2 Red 18.515015 2 10
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 454.27301 true false 3 Green 6.044739 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 456.893341 true false 3 Blue 2.620331 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 464.984467 false true 2 Green 8.091125 1 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 470.650269 false true 3 Blue 5.665802 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 478.85202 true false 2 Blue 8.201752 2 7
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 486.806488 true false 2 Blue 7.954468 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 491.629822 true false 3 Red 4.823334 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 498.430847 false false 3 Green 6.801025 2 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 504.519257 false true 2 Blue 6.088409 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 504.519257 false true 3 Green 0.0 0 0
 # Participant 6 (/Game/Spooky/Maps/UserStudy/FusedTracking)20 Apr 2018 2:22:16 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 523.100647 true false 2 Blue 13.430878 2 14
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 533.058777 true false 2 Green 9.95813 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 538.225037 true false 2 Blue 5.16626 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 546.262146 true false 3 Green 8.037109 2 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 551.582153 true false 2 Blue 5.320007 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 561.341919 true false 3 Red 9.759766 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 568.910156 true false 3 Red 7.568237 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 576.513733 true false 2 Green 7.603577 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 582.85791 true false 2 Green 6.344177 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 590.459778 true false 3 Blue 7.601868 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 595.347778 true false 3 Red 4.888 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 599.720764 false true 2 Green 4.372986 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 599.720764 false true 3 Blue 0.0 0 0
 # Participant 6 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)20 Apr 2018 2:23:51 pm
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 611.750122 false false 2 Green 6.892517 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 616.86084 true false 2 Red 5.110718 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 623.638184 true false 2 Blue 6.777344 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 627.906799 true false 3 Blue 4.268616 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 634.173645 true false 3 Green 6.266846 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 638.994873 true false 3 Blue 4.821228 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 644.217346 true false 3 Red 5.222473 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 652.975037 true false 2 Blue 8.75769 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 656.240479 true false 3 Red 3.265442 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 660.972473 true false 3 Green 4.731995 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 670.487732 true false 2 Green 9.515259 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 678.754211 true false 3 Blue 8.266479 2 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 683.764099 true false 3 Blue 5.009888 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 690.133728 true false 2 Blue 6.369629 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 694.887878 false true 2 Red 4.75415 2 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 694.887878 false true 3 Green 0.0 0 0
