# Participant 6 (/Game/Spooky/Maps/UserStudy/FusedTracking)20 Apr 2018 2:26:51 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 789.470825 false -179.122711 21.10276 -7.807131 4.675293 1 266.500885 33.525291 -274.730072
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 794.019226 false -235.066132 19.416111 -7.807131 4.548401 2 -110.480873 -55.525696 293.246155
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 797.791321 false 30.945602 -96.054688 -7.807131 3.772095 1 1819.759644 -1573.53418 2554.675537
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 802.065369 false -89.814468 23.254982 -7.80713 4.274048 1 638.637512 85.307571 -273.554962
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 805.339294 true -62.34993 27.726412 -0.05 3.273926 2 307.210571 -392.600006 504.203156
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 808.511536 false -158.139496 34.811001 -7.807131 3.172241 2 181.03804 56.783504 -216.789246
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 811.712036 false -170.391022 26.272203 -7.807131 3.2005 1 126.720009 88.035805 -179.797592
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 814.822021 false -251.694077 15.954428 -7.807131 3.109985 1 -85.153114 -56.663311 72.952232
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 820.499023 false -184.117905 44.449078 -7.807131 5.677002 2 5.015215 5.75335 11.76609
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 828.171204 false -201.660477 12.424408 -7.807131 7.67218 1 -6.883215 2.61261 4.047484
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 831.93103 false -198.10524 16.539038 -7.807131 3.759827 1 7.413159 26.871634 2.319689
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 836.429382 false -208.145996 -57.739143 -7.807131 4.498352 4 145.829742 -476.6362 658.849121
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 839.365234 false -214.067307 -4.568768 -7.807131 2.935852 1 -81.839386 -24.539612 -263.513489
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 844.141052 true -127.936806 -18.743284 0.05 4.775818 1 500.234009 -12.556356 -311.606018
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 847.828369 false -184.539551 0.226106 -7.807131 3.687317 1 231.895996 9.307551 -375.862366
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 851.418457 false -176.767654 19.600218 -7.807131 3.590088 1 182.890305 -8.025419 -349.137695
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 858.313904 false -183.910126 38.798065 -7.807131 6.895447 1 33.16563 62.002712 -164.286911
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 861.859497 false -193.115402 13.265322 -7.807131 3.545593 2 131.821625 109.127785 -307.318848
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 865.724976 false -172.591034 45.389839 -7.807131 3.865479 1 251.566986 128.940674 -348.259766
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 870.380859 false -287.545898 102.81424 -7.80713 4.655884 4 276.475189 78.978699 -143.147797
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 874.817017 false 99799.0 99999.0 99991.195313 4.436157 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 874.817017 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 6 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)20 Apr 2018 2:28:26 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 885.518127 false -169.541992 47.295414 -7.807131 5.565369 1 127.941895 60.854626 -194.712097
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
