# Participant 7 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)23 Apr 2018 11:33:10 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 988.346436 true -123.821075 -22.569714 0.05 5.71814 1 188.186234 28.242464 -23.76853
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 993.414001 false -68.655487 -88.585686 -7.807131 5.067566 1 88.411446 -84.361153 -9.858078
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 998.79303 false -56.602356 35.318619 -7.807131 5.379028 1 117.156799 175.111725 39.688946
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1003.703247 true -29.596207 37.714703 -0.05 4.910217 1 144.902267 119.645073 41.575111
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1008.281799 false -146.075272 -4.749623 -7.807131 4.578552 1 555.487915 72.244118 -619.539185
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1013.015259 false -56.882095 35.578129 -7.807131 4.733459 1 217.111496 119.494934 -33.608723
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1018.394531 true -57.217331 -1.528119 -0.05 5.379272 1 154.838165 139.849884 -26.5361
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1026.126831 true -101.386658 0.000035 0.05 7.7323 1 613.36438 -140.622009 -142.822861
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1029.650146 false -256.320679 57.644417 -7.807131 3.523315 2 -16.560802 -8.130984 27.254524
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1033.508545 false -242.628174 5.557851 -7.807131 3.858398 1 -15.275048 -27.006002 9.716032
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1037.837158 true -65.011627 0.000007 0.05 4.328613 1 472.469208 -236.194229 -68.834419
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1042.526855 true -75.914177 -64.177643 0.05 4.689697 1 108.408813 18.327379 39.406746
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1047.2854 true -17.705978 84.04438 -0.05 4.758545 1 111.915764 20.178612 46.930706
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1052.128906 true -60.599655 69.991646 0.05 4.843506 1 497.108124 137.754852 -53.233967
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1058.731934 false -152.488281 74.8498 -7.807131 6.603027 2 176.543198 181.529999 -150.810806
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1063.220947 true 52.384903 62.704121 0.000666 4.489014 1 178.009781 98.144478 56.102951
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 1067.396973 true -57.618744 42.79187 0.05 4.176025 1 193.619186 174.198578 29.477173
