
# Participant 8 (/Game/Spooky/Maps/UserStudy/FusedTracking)26 Apr 2018 9:35:19 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 972.820496 false -232.162247 13.004539 -7.807131 4.957886 2 -10.908973 -25.42144 25.119822
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 976.53009 false -197.745697 9.085556 -7.807131 3.709595 1 70.218803 24.221079 5.394113
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 980.498169 false -149.340393 7.105596 -7.80713 3.968079 2 251.74379 -40.801266 33.189407
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 983.638123 false -129.765411 -4.971144 -7.807131 3.139954 1 204.924881 -57.240528 -30.603552
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 991.374634 false -212.367584 -33.596485 -7.807131 7.736511 2 -84.5485 -17.788252 69.663177
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 994.549927 false -152.252365 -21.097107 -7.807131 3.175293 1 150.180176 -34.253681 45.557022
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 997.680542 false -129.565491 -3.039814 -7.807131 3.130615 2 300.015564 -91.713814 20.223433
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1002.117493 false -259.747131 34.531197 -7.807131 4.436951 1 -26.008059 -22.315302 113.307838
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1005.953674 false -125.224327 -8.329359 -7.80713 3.836182 1 133.853287 -40.846878 17.384031
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1009.419678 false -147.094757 -9.68304 -7.807131 3.466003 1 98.141335 13.591524 15.186273
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1012.705017 false -19.942474 -19.700645 -7.807131 3.285339 1 471.158173 58.29491 193.772568
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
