# Participant 9 (/Game/Spooky/Maps/UserStudy/LeapOnly)27 Apr 2018 1:41:20 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1187.145874 false -245.292572 12.546334 -7.807131 4.21167 1 -48.561501 -39.491093 55.153893
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1191.568115 false -261.686401 49.456074 -7.807131 4.422241 2 -4.897351 4.285417 13.906889
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1196.035156 false -574.442017 -96.467987 -7.807131 4.467041 1 0.959787 -130.483978 -21.011675
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1202.390625 false -281.560974 -119.732315 -7.807131 6.355469 1 50.37846 -65.852989 -11.296215
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1208.546021 false -253.175812 47.798565 -7.807131 6.155396 1 -38.716595 22.755894 19.585215
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1211.836182 false -246.287811 -30.145845 -7.807131 3.290161 1 -6.842506 -32.320065 14.171178
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1222.119385 false -188.611526 13.549675 -7.807131 10.283203 4 3.59044 -2.251308 -2.692106
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1230.129272 false -313.841797 124.886299 -7.807131 8.009888 1 13.616998 -13.834103 -39.19487
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1235.752075 false -109.397591 79.419762 -7.807131 5.622803 1 191.48941 94.372894 217.747177
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1239.861694 false -275.149292 123.105339 -7.807131 4.109619 1 -22.46402 -27.830997 18.344011
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1250.375732 true -27.863022 50.260685 0.05 10.514038 2 90.764236 67.107368 137.843918
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1256.131836 false -219.296677 15.914657 -7.807131 5.756104 1 -238.050751 302.064514 -57.463314
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1262.53125 false -170.514801 -62.029442 -7.807131 6.399414 2 -37.606823 25.888729 67.781723
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1270.460938 true -128.012329 11.565458 0.05 7.929688 1 74.682487 -70.092667 -49.404087
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
