 # Participant 6 (/Game/Spooky/Maps/UserStudy/LeapOnly)19 Apr 2018 11:10:25 am
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 329.042725 false true 2 Green 12.264099 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 350.94516 false true 2 Blue 21.902435 1 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 363.212372 false false 3 Green 12.267212 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 385.734924 false true 2 Blue 22.522552 1 5
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 390.591248 false true 2 Blue 4.856323 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 406.791992 false true 3 Green 16.200745 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
LP 406.791992 false true 3 Red 0.0 0 0
 # Participant 6 (/Game/Spooky/Maps/UserStudy/FusedTracking)19 Apr 2018 11:12:00 am
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 431.499878 false true 2 Green 19.641602 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 443.763916 true false 2 Red 12.264038 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 455.41156 true false 2 Red 11.647644 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 462.541901 true false 2 Red 7.130341 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 471.252014 true false 3 Red 8.710114 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 478.653442 false true 3 Blue 7.401428 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 485.790924 false true 2 Green 7.137482 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 501.875336 false true 2 Blue 16.084412 1 4
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
FT 501.875336 false true 3 Green 0.0 0 0
 # Participant 6 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)19 Apr 2018 11:13:36 am
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 520.644287 true false 3 Green 13.706024 1 8
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 530.032532 true false 3 Red 9.388245 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 537.395874 true false 2 Blue 7.363342 1 2
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 547.930542 true false 2 Red 10.534668 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 556.611938 true false 2 Green 8.681396 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 563.792542 true false 3 Green 7.180603 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 572.204224 true false 2 Blue 8.411682 1 3
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 589.027954 false false 2 Red 16.82373 1 9
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 596.975647 false true 3 Green 7.947693 1 1
# Time Correct Floor CubeNumber CubeColour ResponseTime NHands Grasps 
PN 596.975647 false true 2 Red 0.0 0 0
