# Participant 6 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)19 Apr 2018 11:05:41 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 46.198856 false -146.489075 15.195176 -7.807131 13.655266 2 265.428223 -15.31626 -317.833191
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 51.528099 false -189.61644 19.523325 -7.807131 5.329243 1 71.826347 -13.081396 -204.587189
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 55.321003 false -262.848389 40.505947 -7.807131 3.792904 1 -39.020378 -11.154638 85.506027
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 66.249664 false -181.164139 38.03772 -7.807131 10.928661 1 115.276695 30.572138 -263.692963
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 69.740807 false -167.178116 15.81549 -7.807131 3.491142 1 157.230438 -35.878559 -311.770233
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 72.885239 false -251.034073 -8.509856 -7.807131 3.144432 1 -35.688484 -22.177471 -44.692581
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 76.329575 false -239.036972 17.854029 -7.807131 3.444336 2 -18.213591 -23.804575 76.706177
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 79.410507 false -239.73822 7.215281 -7.807131 3.080933 1 -21.29208 -46.547512 47.461445
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 86.98391 false -232.960052 14.222021 -7.807131 7.573402 1 -18.676395 20.592093 24.037731
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 97.528572 false -168.199005 3.860855 -7.807131 10.544662 1 -5.255566 -10.666406 -1.456784
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 101.073097 false -183.898743 -1.483387 -7.807131 3.544525 1 191.524353 -240.742584 -422.515839
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 103.901703 false -196.641571 5.512263 -7.807131 2.828606 2 -4.997633 -21.038975 -117.639366
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 106.529472 false -286.964813 15.647683 -7.807131 2.627769 1 -65.817009 -30.75346 50.516655
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 110.420654 false -261.480286 45.981789 -7.807131 3.891182 1 -31.003496 -8.860454 125.031807
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 117.40873 false -289.865753 -2.064829 -7.807131 6.988075 3 -64.789909 -43.655766 53.117805
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 122.557228 false 99799.0 99999.0 99991.195313 5.148499 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 122.557228 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 6 (/Game/Spooky/Maps/UserStudy/LeapOnly)19 Apr 2018 11:07:16 am
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 134.379074 false -253.474335 43.3381 -7.807131 6.782272 1 -105.212181 89.731522 59.660889
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 138.013031 false -149.321793 76.557365 -7.807131 3.633957 1 80.640213 42.962776 2.688673
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 142.101944 false -205.335663 5.130448 -7.807131 4.088913 4 -2.200166 1.319034 16.452625
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 144.179077 false -296.317627 36.375668 -7.807131 2.077133 1 -254.698929 -36.788265 18.634798
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 146.65802 false -351.919037 64.403648 -7.807131 2.478943 1 -70.349815 -10.229056 39.494152
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 149.591553 false -269.295898 35.555401 -7.807131 2.933533 1 -27.627123 -21.295694 56.216518
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 151.757553 false -268.969025 19.499609 -7.807131 2.166 1 -34.506195 -22.344954 47.861019
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 158.947433 false -138.140411 20.836462 -7.807131 7.18988 3 125.959862 -54.182133 -59.344269
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 162.002563 false -255.308121 43.731144 -7.807131 3.05513 1 -27.063871 -2.366246 35.967476
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 169.270279 true -99.809509 60.891644 0.05 7.267715 2 238.407898 -1.709698 40.801052
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 173.025955 true -7.732468 -40.333565 0.05 3.755676 1 382.38739 -143.447083 20.607517
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 175.903473 true -28.557098 -12.858253 0.05 2.877518 1 832.338074 -246.136032 -206.286133
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 178.07019 true -92.676994 50.805935 0.05 2.166718 1 261.193939 -27.965002 -17.075314
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 180.224991 true -37.651443 -15.284595 0.05 2.1548 1 396.937347 -102.175751 -50.592216
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 182.969742 true -75.122566 23.408281 0.05 2.744751 2 336.473206 -23.042654 11.979868
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 185.937241 false -151.220245 -23.129839 -7.807131 2.967499 1 78.165024 -62.656124 19.155272
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 188.737946 true -116.052406 -30.712568 0.05 2.800705 1 1076.498901 71.255295 -161.121384
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 190.404266 false -420.524353 42.149891 -7.807131 1.666321 1 -31.29076 -45.690395 80.704262
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 193.794067 true -63.136734 -40.037907 0.05 3.389801 1 867.570251 77.874771 -334.018097
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 198.538803 false -1225.924805 -840.066833 -7.807131 4.744736 1 80.234032 226.240768 11.584521
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 200.972244 true -61.96347 95.092987 0.05 2.433441 1 198.736557 177.51152 53.59433
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 203.394684 true -11.909454 -8.979885 0.05 2.42244 1 761.734009 -76.13649 -22.626726
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 208.395126 true -18.169739 -1.043028 0.05 5.000443 1 392.41449 -79.242683 -3.164096
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 211.117233 false -724.998901 -586.958801 -7.807131 2.722107 1 216.575684 147.902878 108.270615
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 213.128281 false -142.350113 3.241448 -7.807131 2.011047 1 393.124084 88.214279 -122.294006
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 215.751129 true -20.0065 1.46914 0.05 2.622849 1 747.241089 107.137604 -287.339966
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 217.617676 false 99799.0 99999.0 99991.195313 1.866547 1 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 217.617676 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
