# Participant 11 (/Game/Spooky/Maps/UserStudy/FusedTracking)18 Apr 2018 4:04:32 pm
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 107.620567 true 5.455196 -48.000061 87.160263 5.455196 -48.000061 87.160263 6.0 4.163773
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 110.951378 true 5.455235 -36.000065 87.160263 5.455235 -36.000065 87.160263 6.0 2.321358
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 113.795326 true 1.318367 8.999954 83.689651 1.318367 8.999954 83.689651 6.0 1.836189
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 116.181961 true -10.862816 11.999989 73.470619 -10.862816 11.999989 73.470619 6.0 1.380646
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 118.700974 true 1.318325 -3.000053 83.689651 1.318325 -3.000053 83.689651 6.0 1.50518
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 121.372177 true -10.86274 35.999985 73.470627 -10.86274 35.999985 73.470627 6.0 1.661949
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 123.815765 true -6.725777 20.999969 76.941238 -6.725777 20.999969 76.941238 6.0 1.433266
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 126.118317 false -6.725746 32.999977 76.941238 -2.58876 23.999954 80.41185 6.0 1.301888
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 129.844559 false -2.58895 -36.000038 80.41185 -6.72595 -33.000027 76.941231 6.0 2.709389
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 132.667709 true 1.318436 32.999947 83.689659 1.318436 32.999947 83.689659 6.0 1.808655
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 135.097931 true -2.58895 -36.000038 80.41185 -2.58895 -36.000038 80.41185 6.0 1.417313
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 137.429565 true -2.58893 -30.00004 80.41185 -2.58893 -30.00004 80.41185 6.0 1.324921
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 140.008942 true -14.999928 -21.0 70.0 -14.999928 -21.0 70.0 6.0 1.568817
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 142.49292 true 1.318306 -9.00005 83.689651 1.318306 -9.00005 83.689651 6.0 1.481369
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 144.850006 true -2.588722 35.999962 80.411858 -2.588722 35.999962 80.411858 6.0 1.353607
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 147.833298 true 5.455196 -48.000061 87.160263 5.455196 -48.000061 87.160263 6.0 1.979401
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 150.556793 true -6.725819 8.999981 76.941238 -6.725819 8.999981 76.941238 6.0 1.70752
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 153.266708 false -14.999907 -15.0 70.0 -10.862909 -18.00001 73.470619 6.0 1.695221
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 155.975647 true 1.318386 14.999947 83.689651 1.318386 14.999947 83.689651 6.0 1.699799
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 158.337921 true -2.588913 -24.000038 80.41185 -2.588913 -24.000038 80.41185 6.0 1.353668
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 160.75174 true -2.58876 23.999954 80.41185 -2.58876 23.999954 80.41185 6.0 1.410095
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 163.020935 true -10.862816 11.999989 73.470619 -10.862816 11.999989 73.470619 6.0 1.256302
# Time CorrectCorrectPosX CorrectPosY CorrectPosZ TouchPosX TouchPosY TouchPosZ ButtonSize ResponseTime 
FT 165.306213 false -10.862816 11.999989 73.470619 -14.999813 15.0 70.000008 6.0 1.277557
