Task,Participant,Comment:,Overall Sentiment,positive count,neg,abstained,neutral,,Topics:,Unstable,Dropping Objects,Difficulty turning cube,Ball dropped at peripheral
Keyboard,5,Sorry my hand is not working; tracking [frustrating],-1,0,1,0,0,,,,,,
,6,at long reach didnt pick it tracking well,-1,0,1,0,0,,,,,,
,7,,,0,0,1,0,,,,,,
,8,Hands all over the place,-1,0,1,0,0,,,1,,,
,9,B was too finicky but good depth,0,0,0,0,1,,,1,,,
,10,hand was wonky,-1,0,1,0,0,,,,,,
,11,Fingers spazzed out,-1,0,1,0,0,,,1,,,
,12,fingers moved a lot... unstable,-1,0,1,0,0,,,1,,,
,13,,,0,0,1,0,,,,,,
,14,,,0,0,1,0,,,,,,
,15,Hand wouldn\'t show up; Palm would hit [wrong] key,-1,0,1,0,0,,,,,,
,16,I seem to have broken my left arm,-1,0,1,0,0,,,,,,
,17,,,0,0,1,0,,,,,,
,18,"Fingers seem a tad wonky,Unstable fingers at distance",-1,0,1,0,0,,,1,,,
,19,"My hand has glitched out,Cant get my other finger,Fingers doing their own thing. Tried spreading fingers",-1,0,1,0,0,,,,,,
,20,"Hands dissappearing and shaky,Hand rotations noisy",-1,0,1,0,0,,,1,,1,
,21,,,0,0,1,0,,,,,,
,22,Hand got stuck and moved jarringly,-1,0,1,0,0,,,1,,,
,23,,,0,0,1,0,,,,,,
Sorting,5,Calibration out of sync,-1,0,1,0,0,,,,,,
,6,,,0,0,1,0,,,,,,
,7,cube was letting go; hand was rotating without movement,-1,0,1,0,0,,,,1,1,
,8,left hand unresponsive; cube thrown away,-1,0,1,0,0,,,,1,,
,9,Lost sight of hand,-1,0,1,0,0,,,,,,
,10,cube was flicked away,-1,0,1,0,0,,,,1,,
,11,Struggled; fingers curling and hand spinning,-1,0,1,0,0,,,,,1,
,12,really buggy,-1,0,1,0,0,,,1,,,
,13,responsiveness off ... glitched a bit,-1,0,1,0,0,,,,,,
,14,Pick up and turning cube unstable,-1,0,1,0,0,,,1,,1,
,15,,,0,0,1,0,,,,,,
,16,dropped [cube] a lot,-1,0,1,0,0,,,,1,,
,17,"kept flying out of control,elbows were crazy",-1,0,1,0,0,,,,,,
,18,Lots of dropping,-1,0,1,0,0,,,,1,,
,19,"A mess,Glitching out!,Rotating the wrong way",-1,0,1,0,0,,,1,,1,
,20,Rotation dropped cube,-1,0,1,0,0,,,,1,1,
,21,hands are gone again,-1,0,1,0,0,,,,,,
,22,[tracking] couldnt figure out what I was doing,-1,0,1,0,0,,,,,,
,23,Quick tracking speed but arms were not good,0,0,0,0,1,,,,,,
Throwing,5,,,0,0,1,0,,,,,,
,6,this is frustrating,-1,0,1,0,0,,,,,,
,7,Ball falling often,-1,0,1,0,0,,,,1,,
,8,C felt really good apart from right hand,1,1,0,0,0,,,,,,
,9,Arm and hands and digits flipped out,-1,0,1,0,0,,,,,,
,10,Overarm didnt work,-1,0,1,0,0,,,,,,
,11,"hard to throw; easy to pick up,Arm is bugging out - is if working?",-1,0,1,0,0,,,,,,
,12,,,0,0,1,0,,,,,,
,13,,,0,0,1,0,,,,,,
,14,,,0,0,1,0,,,,,,
,15,,,0,0,1,0,,,,,,
,16,Ball dropped from hand at peripheral,-1,0,1,0,0,,,,1,,1
,17,,,0,0,1,0,,,,,,
,18,Definitely easier could actually hit red target,1,1,0,0,0,,,,,,
,19,Why is it sticky?,-1,0,1,0,0,,,,,,
,20,,,0,0,1,0,,,,,,
,21,,,0,0,1,0,,,,,,
,22,,,0,0,1,0,,,,,,
,23,,,0,0,1,0,,,,,,
,,totals,-33,2,35,18,2,,,10,8,6,1
,,Percentages,-58%,4%,61%,32%,4%,100%,,18%,14%,11%,2%
,,,,,,,,,,,,,
,,Key topics: ,participant count,,,,,,,,,,
,,Unstable,,,,,,,,,,,
,,Dropping objects,,,,,,,,,,,
,,Difficulty turning over cube,,,,,,,,,,,
,,Ball dropped at peripheral,,,,,,,,,,,
