#Participant,Score Leap Keyboard,Score Neuron Keyboard,Score Fused Keyboard,Score Leap Sorting,Score Neuron Sorting,Score Fused Sorting,Score Leap Throwing,Score Neuron Throwing,Score Fused Throwing,Time Leap Keyboard,Time Neuron Keyboard,Time Fused Keyboard,Time Leap Sorting,Time Neuron Sorting,Time Fused Sorting,Time Leap Throwing,Time Neuron Throwing,Time Fused Throwing,Mistake Leap Keyboard,Mistake Neuron Keyboard,Mistake Fused Keyboard,Mistake Leap Sorting,Mistake Neuron Sorting,Mistake Fused Sorting,Mistake Leap Throwing,Mistake Neuron Throwing,Mistake Fused Throwing,Order Leap Keyboard,Order Neuron Keyboard,Order Fused Keyboard,Order Leap Sorting,Order Neuron Sorting,Order Fused Sorting,Order Leap Throwing,Order Neuron Throwing,Order Fused Throwing,Score Improvement Leap Keyboard,Score Improvement Neuron Keyboard,Score Improvement Leap Sorting,Score Improvement Neuron Sorting,Score Improvement Leap Throwing,Score Improvement Neuron Throwing,Time Improvement Leap Keyboard,Time Improvement Neuron Keyboard,Time Improvement Leap Sorting,Time Improvement Neuron Sorting,Time Improvement Leap Throwing,Time Improvement Neuron Throwing,Mistake Improvement Leap Keyboard,Mistake Improvement Neuron Keyboard,Mistake Improvement Leap Sorting,Mistake Improvement Neuron Sorting,Mistake Improvement Leap Throwing,Mistake Improvement Neuron Throwing,Delta Orders Leap Keyboard,Delta Orders Neuron Keyboard,Delta Orders Leap Sorting,Delta Orders Neuron Sorting,Delta Orders Leap Throwing,Delta Orders Neuron Throwing,Throwing Error Leap,Throwing Error Neuron,Throwing Error Fused,Throwing Error Improvement Leap,Throwing Error Improvement Neuron
Participant5,15,15,33,4,9,4,2,2,4,2.266739,1.24472,1.08876,11.002502,7.845032,7.1236575,2.2105715,2.6784975,3.733643,6.0,36.0,10.0,5.0,2.0,2.0,15.0,24.0,16.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,18.0,18.0,0.0,-5.0,2.0,2.0,1.177979,0.15596,3.8788445,0.7213745,-1.5230715,-1.0551455,-4.0,26.0,3.0,0.0,-1.0,8.0,-1.0,1.0,-1.0,-2.0,2.0,1.0,218.81454462,147.49372445,161.30594477,-57.50859985,13.812220316
Participant6,18,24,24,7,13,11,0,3,2,1.445366,1.622467,1.5855715,7.3777465,5.7446595,7.601868,3.890564,3.975037,4.0230715,13.0,7.0,8.0,4.0,2.0,2.0,23.0,15.0,18.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,6.0,0.0,4.0,-2.0,2.0,-1.0,-0.1402055,0.0368955,-0.2241215,-1.8572085,-0.1325075,-0.0480345,5.0,-1.0,2.0,0.0,5.0,-3.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,263.68643082,180.21345811,186.24886408,-77.43756674,6.0354059694
Participant7,38,24,18,7,11,7,2,10,3,0.9666385,1.441017,1.398575,8.656372,5.809937,9.291016,4.64978,4.843506,6.9816895,7.0,11.0,26.0,7.0,4.0,4.0,21.0,7.0,6.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,-20.0,-6.0,0.0,-4.0,1.0,-7.0,-0.4319365,0.042442,-0.634644,-3.481079,-2.3319095,-2.1381835,-19.0,-15.0,3.0,0.0,15.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,197.88667397,95.993700145,112.65122586,-85.23544811,16.657525716
Participant8,21,25,24,7,9,7,23,4,0,1.388512,1.13208,1.2337265,6.023499,7.9174955,6.8585815,2.3809815,3.134277,3.139954,12.0,17.0,17.0,9.0,2.0,6.0,8.0,11.0,18.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,-1.0,0.0,-2.0,-23.0,-4.0,0.1547855,-0.1016465,-0.8350825,1.058914,-0.7589725,-0.005677,-5.0,0.0,3.0,-4.0,-10.0,-7.0,1.0,-1.0,1.0,2.0,-2.0,-1.0,78.460696765,137.86455517,152.02945173,73.568754969,14.164896562
Participant9,22,24,11,5,5,3,2,1,4,2.1848755,1.989273,2.447998,6.624634,7.989441,13.862549,9.221863,6.556396,5.0856935,3.0,5.0,12.0,5.0,2.0,7.0,14.0,9.0,11.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,-11.0,-13.0,-2.0,-2.0,2.0,3.0,-0.2631225,-0.458725,-7.237915,-5.873108,4.1361695,1.4707025,-9.0,-7.0,-2.0,-5.0,3.0,-2.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,232.74330897,181.08458391,154.73302153,-78.01028743,-26.35156237
Participant10,27,24,18,1,5,3,4,6,2,1.888245,2.197403,2.708862,14.63031,15.607239,16.402405,5.176086,4.534912,3.941284,1.0,3.0,6.0,8.0,2.0,3.0,15.0,14.0,19.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,-9.0,-6.0,2.0,-2.0,-2.0,-4.0,-0.820617,-0.511459,-1.772095,-0.795166,1.234802,0.593628,-5.0,-3.0,5.0,-1.0,-4.0,-5.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,138.521037609,154.437075763,152.479989307,13.9589516976,-1.9570864556
Participant11,32,28,17,6,8,5,0,1,1,1.294617,1.762928,2.681213,8.178284,8.727753,12.266296,4.091003,6.524841,4.848755,0.0,4.0,4.0,5.0,2.0,2.0,15.0,16.0,13.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,-15.0,-11.0,-1.0,-3.0,1.0,0.0,-1.386596,-0.918285,-4.088012,-3.538543,-0.757752,1.676086,-4.0,0.0,3.0,0.0,2.0,3.0,-1.0,1.0,-1.0,-2.0,2.0,1.0,174.914606957,194.651724893,157.275415823,-17.639191134,-37.37630907
Participant12,34,14,24,5,13,9,18,11,10,1.271263,2.1066855,1.333687,8.123413,5.266174,7.429382,3.0882565,3.893555,4.396179,4.0,25.0,12.0,8.0,2.0,4.0,10.0,12.0,10.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,-10.0,10.0,4.0,-4.0,-8.0,-1.0,-0.062424,0.7729985,0.694031,-2.163208,-1.3079225,-0.502624,-8.0,13.0,4.0,-2.0,0.0,2.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,59.9315210894,118.162119739,125.756940496,65.8254194062,7.59482075701
Participant13,20,18,23,7,14,11,1,1,0,1.0980605,1.5025175,1.446686,8.623291,5.1800235,6.553558,5.442871,7.654114,7.448639,10.0,13.0,15.0,2.0,2.0,4.0,20.0,13.0,10.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,5.0,4.0,-3.0,-1.0,-1.0,-0.3486255,0.0558315,2.069733,-1.3735345,-2.005768,0.205475,-5.0,-2.0,-2.0,-2.0,10.0,3.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,198.783602956,216.549968428,242.71862375,43.9350207946,26.1686553221
Participant14,18,19,17,4,10,11,9,4,8,1.433121,1.970261,1.667206,5.3779605,7.502228,5.622406,2.3377685,2.468384,3.203979,15.0,8.0,22.0,10.0,2.0,3.0,27.0,28.0,13.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,-1.0,-2.0,7.0,1.0,-1.0,4.0,-0.234085,0.303055,-0.2444455,1.879822,-0.8662105,-0.735595,-7.0,-14.0,7.0,-1.0,14.0,15.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,163.27586517,170.051886448,124.840385774,-38.435479396,-45.211500673
Participant15,30,37,24,10,11,8,12,1,6,1.1372375,1.322754,1.8922195,7.1093445,6.616943,6.197449,3.59729,7.360779,4.453674,7.0,1.0,10.0,5.0,2.0,5.0,12.0,15.0,13.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,-6.0,-13.0,-2.0,-3.0,-6.0,5.0,-0.754982,-0.5694655,0.9118955,0.419494,-0.856384,2.907105,-3.0,-9.0,0.0,-3.0,-1.0,2.0,-2.0,-1.0,1.0,-1.0,1.0,2.0,122.237990394,172.175071889,130.825952338,8.58796194411,-41.349119551
Participant16,25,26,19,13,11,11,18,5,5,1.53186,1.4892275,1.938187,5.906555,7.846191,5.577515,2.75531,4.3673095,3.6817015,10.0,8.0,11.0,3.0,2.0,5.0,11.0,11.0,15.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,-6.0,-7.0,-2.0,0.0,-13.0,0.0,-0.406327,-0.4489595,0.32904,2.268676,-0.9263915,0.685608,-1.0,-3.0,-2.0,-3.0,-4.0,-4.0,-1.0,-2.0,2.0,1.0,-1.0,1.0,110.625189659,133.901521829,146.683976147,36.058786488,12.782454318
Participant17,29,14,10,7,10,4,15,11,0,1.077072,1.656189,1.589043,5.30896,6.1900025,16.824341,2.666748,3.212219,3.289917,11.0,7.0,28.0,10.0,2.0,4.0,23.0,8.0,19.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,-19.0,-4.0,-3.0,-6.0,-15.0,-11.0,-0.511971,0.067146,-11.515381,-10.6343385,-0.623169,-0.077698,-17.0,-21.0,6.0,-2.0,4.0,-11.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,130.660012379,98.8853275314,172.93416764,42.2741552608,74.0488401087
Participant18,19,15,23,16,12,18,15,7,4,1.340263,1.755966,1.710388,4.0697025,5.75412,5.11145,2.7318115,3.416992,3.577911,18.0,13.0,10.0,4.0,2.0,2.0,13.0,13.0,16.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,8.0,2.0,6.0,-11.0,-3.0,-0.370125,0.045578,-1.0417475,0.64267,-0.8460995,-0.160919,8.0,3.0,2.0,0.0,-3.0,-3.0,2.0,1.0,-1.0,1.0,-1.0,-2.0,85.4824321935,162.168771123,136.678095846,51.1956636526,-25.490675276
