Participant ID,Keyboard LP Ranks,Keyboard PN Ranks,Keyboard FT Ranks,Sorting LP Ranks,Sorting PN Ranks,Sorting FT Ranks,Throwing LP Ranks,Throwing PN Ranks,Throwing FT Ranks
5,1,2,3,2,3,1,1,2,3
6,1,3,2,1,3,2,3,2,1
7,3,1,2,1,3,2,1,3,2
8,1,2,3,1,3,2,3,1,2
9,1,3,2,2,3,1,2,1,3
10,2,1,3,2,3,1,3,1,2
11,2,3,1,1,2,3,3,1,2
12,1,3,2,1,2,3,3,1,2
13,3,2,1,1,3,2,3,2,1
14,1,2,3,1,3,2,2,1,3
15,1,3,2,3,1,2,2,3,1
16,3,2,1,3,1,2,2,1,3
17,3,2,1,1,2,3,2,3,1
18,2,1,3,1,2,3,3,1,2
19,1,3,2,1,2,3,2,1,3
21,2,1,3,1,3,2,3,1,2
22,1,2,3,1,3,2,3,1,2
23,2,3,1,3,1,2,3,1,2
